source,id,datetime,dC_ch4_emis[kgCha-1],dC_co2_emis_auto[kgCha-1],dC_co2_emis_hetero[kgCha-1],dC_doc_leach[kgCha-1],dN_don_leach[kgNha-1],dN_no3_leach[kgNha-1],dN_nh4_leach[kgNha-1],dN_no_emis[kgNha-1],dN_n2o_emis[kgNha-1],dN_n2_emis[kgNha-1],dN_nh3_emis[kgNha-1],dN_n2_fix[kgNha-1],dC_co2_fix[kgCha-1],dS_so4_leach[kgSha-1],dC_litter_above[kgCha-1],dC_litter_below[kgCha-1],dN_litter_above[kgNha-1],dN_litter_below[kgNha-1],dN_deposition[kgNha-1],dN_plant_uptake[kgNha-1],dN_mineral[kgNha-1],dN_nitrify[kgNha-1],dN_denitrify[kgNha-1],dN_chemodenitrify[kgNha-1],C_plants[kgCha-1],C_soil[kgCha-1],C_soil_20cm[kgCha-1],C_soil_30cm[kgCha-1],C_aorg[kgCha-1],C_litter_raw[kgCha-1],C_litter[kgCha-1],C_mic[kgCha-1],C_sol[kgCha-1],C_wood_above[kgCha-1],C_wood_below[kgCha-1],N_plants[kgNha-1],N_soil[kgNha-1],N_soil_20cm[kgNha-1],N_soil_30cm[kgNha-1],N_aorg[kgNha-1],N_litter_raw[kgNha-1],N_litter[kgNha-1],N_mic[kgNha-1],N_sol[kgNha-1],N_wood_above[kgNha-1],N_wood_below[kgNha-1],anvf_mean[-]
setup,0,2018-01-11 23:00:00,9.39156e-06,7.09825,5.91151,6.60407e-05,0,1.36976e-07,0,5.14057e-05,0.000877778,0.00631152,1.2478e-07,0,0,0,0.290209,0.507755,0.00437506,0.00708348,0.0136257,0.500079,0.570709,0.173826,0.00920948,9.6594e-05,623.012,116069,37988.1,57868.5,246.701,14.7092,69.8625,129.137,5.50838,0,0,16.3856,10763.1,3500.22,5292.43,26.5109,0.266175,1.49058,13.4741,3.86411,0,0,0.882975
setup,0,2018-01-12 23:00:00,9.50548e-06,7.12187,5.74471,9.7796e-05,0,1.08001e-07,0,5.9648e-05,0.000872604,0.00365527,1.37633e-07,0,0,0,0.335638,0.502623,0.00505993,0.00707427,0.0136256,0.337944,0.510501,0.164807,0.00615511,9.28524e-05,632.064,116064,37984.7,57864.5,245.533,15.3593,67.6834,128.515,6.38102,0,0,16.9802,10762.8,3500.05,5292.21,26.4179,0.274873,1.4411,13.3268,3.94298,0,0,0.884478
setup,0,2018-01-13 23:00:00,6.74359e-06,7.0798,5.30106,0.000118401,0,1.00326e-07,0,6.55029e-05,0.000790513,0.00241448,1.59791e-07,0,0,0,0.38718,0.497525,0.00583785,0.00706607,0.0136256,0.248235,0.467315,0.162153,0.00690824,9.29408e-05,637.117,116059,37981.7,57860.8,243.927,16.0519,65.6426,128.295,7.4908,0,0,17.3604,10762.6,3499.92,5292.04,26.3322,0.284301,1.39486,13.2314,4.0338,0,0,0.877729
setup,0,2018-01-14 23:00:00,1.24106e-06,7.22992,5.03754,0.00013435,0,7.93387e-08,0,7.1901e-05,0.000719158,0.00172964,1.90038e-07,0,0,0,0.445486,0.49247,0.00672739,0.00706687,0.0136256,0.142834,0.437337,0.171164,0.00734969,9.70746e-05,637.47,116054,37979,57857.4,241.997,16.7914,63.6705,128.412,8.91112,0,0,17.6254,10762.4,3499.85,5291.95,26.2621,0.29453,1.35026,13.1766,4.16994,0,0,0.879162
setup,0,2018-01-15 23:00:00,2.00921e-07,7.25858,4.75342,0.000149521,0,3.56945e-05,0,7.98818e-05,0.00067123,0.00140495,2.27365e-07,0,0,0,0.511247,0.487346,0.00773674,0.00707115,0.0136256,0.12094,0.422902,0.182458,0.00867881,0.000104359,636.951,116050,37976.5,57854.1,239.82,17.5831,61.7887,128.845,10.4914,0,0,17.7616,10762.3,3499.79,5291.86,26.1844,0.305652,1.30775,13.1601,4.28787,0,0,0.876011
setup,0,2018-01-16 23:00:00,2.16958e-07,7.32033,4.6126,0.000163969,0,8.22551e-11,0,8.79155e-05,0.00064604,0.00119642,2.57242e-07,0,0,0,0.585195,0.482238,0.00887854,0.00707821,0.0136256,0.123975,0.419444,0.194595,0.00937425,0.000110943,636.541,116045,37974.2,57851.1,237.476,18.4366,59.9911,129.557,12.1395,0,0,17.871,10762.1,3499.72,5291.77,26.0826,0.317821,1.26721,13.175,4.39624,0,0,0.870505
setup,0,2018-01-17 23:00:00,2.29286e-07,7.44104,4.59896,0.000178677,0,3.33552e-10,0,9.58833e-05,0.000640507,0.00102197,2.87862e-07,0,0,0,0.668097,0.477136,0.0101637,0.00708593,0.0136258,0.136335,0.41992,0.20603,0.00918926,0.000116766,636.741,116041,37972,57848.2,234.978,19.3593,58.2532,130.523,13.8713,0,0,17.9838,10762,3499.65,5291.67,25.9563,0.331157,1.22806,13.2163,4.50109,0,0,0.865218
setup,0,2018-01-18 23:00:00,2.4078e-07,7.54375,4.60841,0.000194612,0,7.37641e-10,7.04452e-10,0.00010294,0.000642196,0.000866584,3.19934e-07,0,0,0,0.760755,0.472107,0.0116054,0.00709403,0.0136256,0.104088,0.418784,0.21394,0.00837641,0.00012091,635.412,116037,37969.9,57845.3,232.334,20.3608,56.5779,131.698,15.685,0,0,18.112,10761.9,3499.59,5291.59,25.8197,0.345812,1.19036,13.2797,4.63772,0,0,0.86024
setup,0,2018-01-19 23:00:00,2.48248e-07,7.56408,4.57775,0.000212192,0,1.29651e-09,8.77385e-09,0.000108629,0.000640669,0.00074084,3.47201e-07,0,0,0,0.863998,0.467015,0.0132175,0.0071022,0.0136256,0.104184,0.421761,0.219859,0.00758942,0.000122885,634.109,116033,37967.9,57842.5,229.572,21.4522,54.97,133.064,17.5611,0,0,18.2009,10761.7,3499.54,5291.52,25.6735,0.361965,1.15421,13.3653,4.76763,0,0,0.855406
setup,0,2018-01-20 23:00:00,2.49957e-07,7.54679,4.47408,0.00023039,0,2.02273e-09,1.42515e-08,0.000111404,0.000628558,0.000658111,3.5896e-07,0,0,0,0.978676,0.461953,0.015017,0.00711144,0.0136257,0.0957147,0.423416,0.223326,0.00696953,0.000122731,632.388,116029,37966,57839.9,226.749,22.6472,53.4624,134.593,19.353,0,0,18.2895,10761.6,3499.49,5291.44,25.5104,0.379848,1.12033,13.471,4.90005,0,0,0.857068
