row,time,.prec.sim.prec
167,2018-06-17T23:00:00,0.75
168,2018-06-18T23:00:00,1.53
169,2018-06-19T23:00:00,0.81
170,2018-06-20T23:00:00,0.08
171,2018-06-21T23:00:00,0.28
172,2018-06-22T23:00:00,0.64
173,2018-06-23T23:00:00,0.46
174,2018-06-24T23:00:00,0.39
175,2018-06-25T23:00:00,1.59
176,2018-06-26T23:00:00,0.86
177,2018-06-27T23:00:00,0.19
178,2018-06-28T23:00:00,0.05
179,2018-06-29T23:00:00,1.13
180,2018-06-30T23:00:00,0.6
181,2018-07-01T23:00:00,1.68
182,2018-07-02T23:00:00,1.48
183,2018-07-03T23:00:00,2.1
184,2018-07-04T23:00:00,2.2
185,2018-07-05T23:00:00,0.29
186,2018-07-06T23:00:00,0.02
187,2018-07-07T23:00:00,0.31
188,2018-07-08T23:00:00,0.21
189,2018-07-09T23:00:00,0.43
190,2018-07-10T23:00:00,0.33
191,2018-07-11T23:00:00,0.35
192,2018-07-12T23:00:00,0.53
193,2018-07-13T23:00:00,1.38
194,2018-07-14T23:00:00,0.75
195,2018-07-15T23:00:00,0.14
196,2018-07-16T23:00:00,0.13
197,2018-07-17T23:00:00,0.02
198,2018-07-18T23:00:00,0.01
199,2018-07-19T23:00:00,0.04
200,2018-07-20T23:00:00,0.16
201,2018-07-21T23:00:00,0.8
202,2018-07-22T23:00:00,0.34
203,2018-07-23T23:00:00,0.15
204,2018-07-24T23:00:00,0.22
205,2018-07-25T23:00:00,0.47
206,2018-07-26T23:00:00,0.23
207,2018-07-27T23:00:00,0.26
208,2018-07-28T23:00:00,0.01
209,2018-07-29T23:00:00,0.39
210,2018-07-30T23:00:00,1.21
211,2018-07-31T23:00:00,0.78
212,2018-08-01T23:00:00,0.31
213,2018-08-02T23:00:00,0.1
214,2018-08-03T23:00:00,0.1
215,2018-08-04T23:00:00,0.17
216,2018-08-05T23:00:00,0.41
217,2018-08-06T23:00:00,0.12
218,2018-08-07T23:00:00,0.06
219,2018-08-08T23:00:00,0.11
220,2018-08-09T23:00:00,0.15
221,2018-08-10T23:00:00,0.21
222,2018-08-11T23:00:00,0.28
223,2018-08-12T23:00:00,0.23
224,2018-08-13T23:00:00,0.1
225,2018-08-14T23:00:00,0.07
226,2018-08-15T23:00:00,0.69
227,2018-08-16T23:00:00,0.25
228,2018-08-17T23:00:00,0.74
229,2018-08-18T23:00:00,0.34
230,2018-08-19T23:00:00,0.15
231,2018-08-20T23:00:00,0.12
232,2018-08-21T23:00:00,0.15
233,2018-08-22T23:00:00,0.06
234,2018-08-23T23:00:00,0.17
235,2018-08-24T23:00:00,1.0
236,2018-08-25T23:00:00,0.96
237,2018-08-26T23:00:00,1.1
238,2018-08-27T23:00:00,1.85
239,2018-08-28T23:00:00,1.75
240,2018-08-29T23:00:00,0.34
241,2018-08-30T23:00:00,0.1
