source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2012-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.600215	1	0	0	0	0	0
setup	0	2012-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2012-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2012-12-31 23:00:00	ACTO	1	0.252788	49.2058	56.4297	20	15.5854	0.806016	0.401976	1.50323	0.525106	20.1199	149.484	0.200035	3.906	0.976711	7.96653
setup	0	2012-12-31 23:00:00	:ALL:	1	1.09279	49.2058	56.4297	20	15.5854	0.806016	0.401976	1.50323	0.56087	20.1199	149.484	0.200035	3.906	0.976711	7.96653
setup	0	2013-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.613584	1	0	0	0	0	0
setup	0	2013-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2013-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2013-12-31 23:00:00	ACTO	1	0.254071	49.1075	56.9774	20	15.5854	0.806597	0.403398	1.50323	0.424834	20.1199	141.347	0.200033	3.94858	0.987352	8.05337
setup	0	2013-12-31 23:00:00	:ALL:	1	1.09407	49.1075	56.9774	20	15.5854	0.806597	0.403398	1.50323	0.547319	20.1199	141.347	0.200033	3.94858	0.987352	8.05337
setup	0	2014-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.614753	1	0	0	0	0	0
setup	0	2014-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2014-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2014-12-31 23:00:00	ACTO	1	0.254954	49.0094	57.1796	20	15.5854	0.807033	0.404502	1.50323	0.426806	20.1199	133.287	0.200032	3.96244	0.99081	8.08161
setup	0	2014-12-31 23:00:00	:ALL:	1	1.09495	49.0094	57.1796	20	15.5854	0.807033	0.404502	1.50323	0.548533	20.1199	133.287	0.200032	3.96244	0.99081	8.08161
setup	0	2015-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.605439	1	0	0	0	0	0
setup	0	2015-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2015-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
