timestamp,precipitation (mm),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius)
2024-01-15,0.15300000000000002,19.922916666666666,25.5,15.5
2024-01-16,0.15300000000000002,19.794444444444444,26.1,14.5
2024-01-17,0.15300000000000002,19.50972222222222,25.4,15.1
2024-01-18,0.10200000000000001,18.791319444444444,23.4,15.1
2024-01-19,0.0,20.904166666666665,27.9,14.5
2024-01-20,0.374,18.837847222222223,25.2,16.4
2024-01-21,0.034,19.771527777777777,25.1,14.3
2024-01-22,0.136,18.636111111111113,25.4,12.5
2024-01-23,0.10200000000000001,18.389583333333334,25.7,10.6
2024-01-24,0.10200000000000001,18.997222222222224,26.6,10.1
2024-01-25,0.136,19.817708333333332,27.6,11.6
2024-01-26,0.0,20.35590277777778,27.2,14.2
2024-01-27,0.187,19.838194444444447,26.4,14.3
2024-01-28,0.17,19.414236111111112,26.6,12.0
2024-01-29,0.136,19.717708333333334,26.5,13.8
2024-01-30,0.17,19.797222222222224,27.0,14.1
2024-01-31,0.17000000000000004,19.504513888888887,26.1,13.7
2024-02-01,0.221,18.60625,26.6,12.1
2024-02-02,0.10200000000000001,18.998611111111114,27.5,10.6
2024-02-03,0.085,20.126388888888886,28.4,11.5
2024-02-04,0.017,19.802777777777777,27.2,14.2
2024-02-05,0.068,20.330555555555556,28.0,13.6
2024-02-06,0.10200000000000001,20.567708333333332,28.3,14.7
2024-02-07,0.0,19.62222222222222,27.9,12.4
2024-02-08,0.068,19.778125000000003,27.9,13.9
2024-02-09,0.136,20.5625,28.7,11.8
2024-02-10,0.187,19.865972222222222,28.5,13.4
2024-02-11,0.10200000000000001,19.869791666666668,28.1,12.7
2024-02-12,0.068,20.077083333333334,28.3,12.1
2024-02-13,0.017,20.78611111111111,28.7,12.0
2024-02-14,0.085,20.56076388888889,29.2,11.9
2024-02-15,0.051000000000000004,20.313888888888886,29.1,12.4
2024-02-16,0.068,20.246180555555554,29.0,11.6
2024-02-17,0.136,20.59444444444444,29.5,13.1
2024-02-18,0.017,22.22951388888889,31.7,11.8
2024-02-19,0.034,22.341666666666665,31.6,12.8
2024-02-20,2.604,21.521180555555556,31.0,14.1
2024-02-21,0.017,21.791666666666668,30.3,15.2
2024-02-22,0.0,20.86111111111111,28.6,12.7
2024-02-23,0.0,20.346874999999997,27.0,14.8
2024-02-24,6.178000000000001,18.830555555555556,27.4,14.6
2024-02-25,0.068,20.84722222222222,27.8,15.7
2024-02-26,2.451,20.014930555555555,27.6,15.6
2024-02-27,13.908999999999999,20.207291666666666,28.8,15.7
2024-02-28,0.5780000000000001,20.42013888888889,29.9,15.4
2024-02-29,0.051000000000000004,21.359722222222224,29.0,14.8
2024-03-01,0.10200000000000001,21.113194444444446,28.7,14.2
2024-03-02,0.18700000000000003,20.818055555555556,28.8,14.1
2024-03-03,0.15300000000000002,21.073958333333337,29.8,13.4
2024-03-04,0.10200000000000001,21.387500000000003,30.4,13.1
2024-03-05,0.10200000000000001,21.07569444444444,29.0,15.6
2024-03-06,0.7480000000000001,19.79375,27.8,14.7
2024-03-07,0.17,21.30763888888889,29.4,13.7
2024-03-08,0.034,21.272569444444443,30.3,11.7
2024-03-09,0.0,21.949305555555554,29.7,15.9
2024-03-10,0.15300000000000002,21.318749999999998,29.5,14.7
2024-03-11,0.10200000000000001,21.044791666666665,30.2,13.8
2024-03-12,0.11900000000000001,20.50486111111111,30.1,12.3
2024-03-13,0.085,21.609375,30.4,13.1
2024-03-14,0.30600000000000005,20.389236111111114,29.2,14.5
2024-03-15,0.10200000000000001,20.601736111111112,28.6,14.4
2024-03-16,0.17,20.032638888888886,29.9,12.0
2024-03-17,0.068,22.525347222222226,31.7,13.0
2024-03-18,0.136,22.180902777777774,31.1,14.6
2024-03-19,0.068,22.05486111111111,30.4,14.6
2024-03-20,0.11900000000000001,21.84965277777778,30.1,15.4
2024-03-21,0.068,22.081944444444446,30.6,15.5
2024-03-22,0.10200000000000001,22.553819444444443,31.3,14.4
2024-03-23,32.11,20.509375000000002,29.8,15.5
2024-03-24,0.255,20.869097222222223,29.0,16.1
2024-03-25,3.844,20.913194444444443,29.2,15.4
2024-03-26,0.085,21.28159722222222,28.4,16.7
2024-03-27,0.20400000000000001,20.571180555555557,28.3,15.8
2024-03-28,0.136,20.39513888888889,27.5,15.3
2024-03-29,0.5780000000000001,20.893749999999997,27.9,14.3
2024-03-30,1.2760000000000002,20.051041666666666,27.2,16.2
2024-03-31,0.7140000000000001,19.680902777777778,26.9,15.8
2024-04-01,1.3940000000000001,19.75173611111111,26.0,15.7
2024-04-02,1.6500000000000001,20.194097222222222,27.8,15.3
2024-04-03,0.10200000000000001,20.450347222222224,27.9,15.9
2024-04-04,0.8680000000000002,20.34236111111111,28.4,16.6
2024-04-05,18.002999999999997,20.76215277777778,27.7,16.3
2024-04-06,32.05799999999999,19.396527777777777,25.6,15.9
2024-04-07,14.451,20.985069444444445,27.7,16.3
2024-04-08,10.972,19.53298611111111,25.9,16.8
2024-04-09,15.927999999999999,19.026041666666668,27.5,14.8
2024-04-10,0.15300000000000002,20.80625,28.0,13.8
2024-04-11,0.11900000000000001,20.946180555555557,28.7,15.5
2024-04-12,11.034999999999998,19.503124999999997,25.8,15.6
2024-04-13,25.049,19.656597222222224,25.6,16.6
2024-04-14,3.332,19.774305555555557,26.4,16.0
2024-04-15,1.7520000000000002,19.813541666666666,25.7,16.6
2024-04-16,0.0,20.041319444444444,26.7,16.1
2024-04-17,0.017,20.257291666666667,26.5,16.0
2024-04-18,0.0,20.646853146853147,26.5,17.2
2024-04-19,0.0,20.02951388888889,26.6,15.7
2024-04-20,46.407999999999994,19.721180555555556,26.5,14.3
2024-04-21,9.503,19.298958333333335,25.4,16.3
2024-04-22,1.989,20.04861111111111,26.7,16.3
2024-04-23,9.836,20.10451388888889,26.3,17.2
2024-04-24,1.19,20.02951388888889,25.8,17.2
2024-04-25,41.992999999999995,18.720833333333335,25.0,15.8
2024-04-26,30.890999999999995,18.28333333333333,24.4,16.0
2024-04-27,0.034,19.7875,25.4,16.5
2024-04-28,0.68,19.169791666666665,24.0,17.1
2024-04-29,16.290999999999997,18.951041666666665,26.1,15.1
2024-04-30,25.217,20.634722222222223,27.2,16.7
2024-05-01,64.498,19.648611111111112,25.9,16.3
2024-05-02,116.74199999999999,19.0,25.7,16.4
2024-05-03,51.05200000000001,19.930902777777778,24.2,16.9
2024-05-04,31.403999999999996,18.78402777777778,23.1,16.3
2024-05-05,0.085,19.516319444444445,26.3,15.9
2024-05-06,14.387999999999998,18.439583333333335,23.7,16.0
2024-05-07,0.051000000000000004,18.86111111111111,23.7,15.8
2024-05-08,0.629,18.305208333333333,22.7,15.5
2024-05-09,0.0,18.46527777777778,23.0,15.3
2024-05-10,0.10200000000000001,18.224305555555556,23.8,14.4
2024-05-11,0.0,18.758680555555557,26.2,13.6
2024-05-12,0.0,18.221180555555556,26.3,12.4
2024-05-13,0.0,18.54201388888889,26.6,14.0
2024-05-14,0.017,18.635069444444447,25.6,13.5
2024-05-15,0.0,18.523611111111112,25.4,13.0
2024-05-16,0.017,18.955208333333335,25.6,12.6
2024-05-17,0.068,19.61423611111111,26.4,14.7
2024-05-18,0.0,19.150694444444447,26.6,12.1
2024-05-19,0.034,19.75347222222222,26.5,12.9
2024-05-20,0.10200000000000001,20.09097222222222,25.8,15.6
2024-05-21,0.0,19.70138888888889,25.8,15.3
2024-05-22,0.0,18.566666666666666,25.4,12.7
2024-05-23,0.15300000000000002,17.787847222222222,22.5,14.0
2024-05-24,0.0,18.402430555555554,24.6,14.1
2024-05-25,7.6370000000000005,18.397569444444443,24.9,14.6
2024-05-26,0.0,18.344097222222224,25.6,12.8
2024-05-27,0.017,18.548958333333335,27.5,12.6
2024-05-28,0.0,17.842708333333334,24.0,13.9
2024-05-29,0.0,16.82465277777778,24.3,10.7
2024-05-30,0.051000000000000004,17.101736111111112,24.9,10.3
2024-05-31,0.068,17.770138888888887,25.3,10.6
2024-06-01,0.0,18.603819444444444,25.5,13.7
2024-06-02,0.0,18.05625,24.7,13.2
2024-06-03,0.051000000000000004,18.31458333333333,25.2,12.4
2024-06-04,0.051000000000000004,18.275347222222223,24.6,12.4
2024-06-05,0.085,17.24513888888889,23.5,12.7
2024-06-06,0.034,17.34240282685512,23.7,12.4
2024-06-07,0.0,18.001041666666666,25.1,11.1
2024-06-08,0.0,16.705555555555556,22.9,10.9
2024-06-09,0.0,16.238541666666666,21.1,12.7
2024-06-10,0.0,16.881944444444443,24.3,11.5
2024-06-11,0.017,16.080902777777776,24.3,9.7
2024-06-12,0.051000000000000004,15.484027777777776,24.3,7.7
2024-06-13,0.068,16.055555555555557,25.2,7.7
2024-06-14,0.017,16.66979166666667,25.1,8.0
2024-06-15,0.0,16.408680555555556,23.5,9.5
2024-06-16,0.017,16.474652777777777,24.2,8.5
2024-06-17,0.051000000000000004,16.244444444444444,25.0,9.5
2024-06-18,0.11900000000000001,16.482291666666665,24.9,7.6
2024-06-19,1.1390000000000002,16.92013888888889,25.8,9.6
2024-06-20,1.361,16.708680555555556,21.7,14.1
2024-06-21,0.034,15.663194444444445,22.8,10.7
2024-06-22,0.0,15.18090277777778,22.6,9.8
2024-06-23,0.017,15.255208333333334,23.7,9.0
2024-06-24,0.0,14.878124999999999,22.9,8.2
2024-06-25,0.034,14.503819444444446,23.2,7.3
2024-06-26,0.0,15.837500000000002,23.9,9.3
2024-06-27,0.051000000000000004,14.967361111111112,21.5,9.1
2024-06-28,0.0,15.084722222222224,22.8,7.8
2024-06-29,0.0,15.67847222222222,23.2,9.4
2024-06-30,0.068,15.244097222222223,23.1,9.6
2024-07-01,0.068,15.85277777777778,24.3,8.7
2024-07-02,0.0,15.409722222222221,24.9,6.7
2024-07-03,0.0,16.143055555555556,25.3,8.2
2024-07-04,0.0,16.31423611111111,25.4,8.0
2024-07-05,0.0,16.868402777777778,24.9,9.1
2024-07-06,0.0,17.67534722222222,24.6,12.1
2024-07-07,1.088,17.425694444444446,24.5,13.6
2024-07-08,66.661,18.101736111111112,28.0,12.7
2024-07-09,1.6509999999999998,17.53055555555555,23.6,12.3
2024-07-10,0.0,15.413194444444445,23.0,9.9
2024-07-11,0.0,14.039236111111112,22.2,7.2
2024-07-12,0.0,16.69236111111111,25.5,7.5
2024-07-13,0.35700000000000004,16.164583333333333,22.5,10.9
2024-07-14,0.051000000000000004,16.10451388888889,24.0,9.3
2024-07-15,0.051000000000000004,16.705208333333335,24.8,8.2
2024-07-16,0.0,16.110069444444445,20.9,12.6
2024-07-17,0.0,16.511111111111106,22.1,13.3
2024-07-18,0.085,14.715625000000001,20.5,10.5
2024-07-19,0.17,15.557986111111111,21.3,11.0
2024-07-20,0.017,16.555902777777778,22.3,10.4
2024-07-21,0.11900000000000001,16.356250000000003,24.5,11.1
2024-07-22,0.068,16.29409722222222,24.1,9.4
2024-07-23,0.11900000000000001,15.464236111111111,24.4,7.6
2024-07-24,0.17,15.422569444444443,22.3,9.7
2024-07-25,0.11900000000000001,17.089930555555554,25.4,11.5
2024-07-26,0.0,17.726388888888888,24.3,13.4
2024-07-27,0.085,14.660763888888889,20.2,8.9
2024-07-28,0.136,16.063888888888886,24.6,9.9
