"date","nee","h","le","temp.avg","temp.min","temp.max","precip","rg","swc.1","swc.2","swc.3","ts.1","ts.2","ts.3"
2018-07-27,1.1994022,16.6604907692308,4.10195092307692,NA,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-28,2.33185958823529,6.05954073684211,5.65418733333333,NA,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-29,NA,NA,NA,NA,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-30,4.75964335294118,6.18935770588235,36.9155094117647,16.5994705882353,15.062,23.09,1.15882352941176,NA,0.275302,0.416682411764706,0.249447058823529,21.9,21.2543529411765,21.3868235294118
2018-07-31,3.58834204166667,33.3678497708333,43.9301178333333,16.7667916666667,13.748,20.399,0,256.942340416667,0.2767909375,0.4236971875,0.24770825,22.0530416666667,20.3581875,19.3557708333333
2018-08-01,2.58054282083333,38.4136631458333,44.146531875,17.6083333333333,14.078,23.6,0,276.247376190476,0.2757028125,0.423944395833333,0.227363875,22.0990833333333,20.313375,20.2426875
2018-08-02,2.24558191333333,20.4543023333333,39.5912318214286,17.1466,11.427,24.453,0,370.207,0.277922133333333,0.425705566666667,0.215822166666667,22.0840333333333,21.3761333333333,22.4706333333333
2018-08-03,0.753212756097561,53.9419242926829,35.338699474359,16.592675,11.447,23.441,0,418.8935,0.275301609756098,0.421516243902439,0.206060926829268,22.091756097561,21.76,22.559512195122
2018-08-04,1.49158257608696,45.6361473913043,39.0770270454545,15.8962608695652,11.465,21.901,0,229.398442941176,0.279703630434783,0.418035543478261,0.1975855,22.2649565217391,21.8678260869565,21.7292608695652
2018-08-05,1.33696863333333,17.11959525,21.3559366666667,15.4084166666667,12.371,19.377,0,129.787371428571,0.277763875,0.416906895833333,0.190201354166667,22.4102291666667,21.3741666666667,19.9426875
2018-08-06,0.383791166666667,58.0207616666667,37.3055878125,16.5548958333333,11.153,22.108,0,335.59583,0.2753458125,0.4161659375,0.1864735625,22.4070833333333,20.7405208333333,20.8544375
2018-08-07,-0.649449364583333,67.7946188333333,46.7414561489362,16.8352708333333,10.311,23.814,0,393.76289047619,0.275201416666667,0.416873645833333,0.184195770833333,22.3959583333333,21.6113125,22.3509166666667
2018-08-08,-0.125489477083333,64.2280311770833,40.05767,17.3220625,10.449,24.611,0,358.968423809524,0.274562541666667,0.409304854166667,0.176504895833333,22.4038958333333,22.5259583333333,23.3690416666667
2018-08-09,0.0625126458333333,54.1954905145833,23.2735021276596,17.4300833333333,12.323,23.099,0,267.854154545455,0.275044854166667,0.403222145833333,0.167327666666667,22.5953333333333,23.1087291666667,23.4253125
