"date","nee.osv","h.osv","le.osv","temp.avg.osv","temp.min.osv","temp.max.osv","precip.osv","rg.osv","swc.1.osv","swc.2.osv","swc.3.osv","ts.1.osv","ts.2.osv","ts.3.osv"
2023-04-22,0.647222910638298,7.87825923404255,54.4486924782609,18.0616170212766,16.81,19.594,17.0553191489362,311.852147429218,0.339400659574468,0.230468808510638,0.28056029787234,24.9938936170213,24.4112553191489,22.6996382978723
2023-04-23,-2.59417333333333,30.0066003333333,108.863185833333,19.1896458333333,15.333,23.636,0,311.852147429218,0.339278479166667,0.2180471875,0.319820833333333,25.0465416666667,22.949125,22.5162916666667
2023-04-24,-3.38659517021277,33.0448550212766,99.9546653829787,20.1343617021277,17.323,24.314,0,311.852147429218,0.33611270212766,0.214410638297872,0.295267425531915,24.9,23.6231276595745,24.0157234042553
2023-04-25,-2.198122875,23.7442414166667,90.8967204791667,18.9186458333333,15.945,22.833,5.1,311.852147429218,0.33582575,0.214142375,0.281593104166667,24.9,23.9016041666667,23.3252083333333
2023-04-26,0.724715708333333,13.2742665625,66.041265,18.5533125,16.407,22.86,35,311.852147429218,0.336408291666667,0.250446541666667,0.348877083333333,24.9,23.38425,22.5985625
2023-04-27,-2.7893260625,22.0897071125,98.2919203125,19.0583541666667,15.697,23.061,0.1,311.852147429218,0.337065354166667,0.332974979166667,0.3420118125,24.8408333333333,22.8795,22.2196666666667
2023-04-28,-1.5286150625,9.89898917083333,55.0381095833333,17.8461875,16.687,20.076,11.7,311.852147429218,0.338071479166667,0.343016708333333,0.3400785,24.7,22.7192291666667,21.6473541666667
2023-04-29,-2.50729036170213,17.9169823191489,68.2121218297872,18.041914893617,15.505,21.489,0,311.852147429218,0.336389340425532,0.378636872340426,0.349832617021277,24.5491489361702,22.0883617021277,21.1281914893617
2023-04-30,-1.26281340425532,20.4772228170833,96.8057487083333,18.660125,16.793,22.474,14.3,311.852147429218,0.3344534375,0.385497208333333,0.3513895625,24.3116875,22.317125,22.033625
2023-05-01,-5.52588026086956,21.7530518333333,70.2688817872341,18.0178125,16.165,20.283,22.6,311.852147429218,0.3376333125,0.450878520833333,0.363473604166667,24.020625,22.4161458333333,21.8887708333333
