source	id	datetime	species	day_emerg	temp_cum	dvs_flush	dvs_mort	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_fru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_dst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	N_lit_fol[kgNm-2]	N_lit_fru[kgNm-2]	N_lit_frt[kgNm-2]	N_lit_ldst_below[kgNm-2]	N_lit_ldst_above[kgNm-2]	drought_rel	conduct_rel	vc_act_25[umol_m-2_s-1]	iso_act[nmol_m-2_s-1]	mono_act[nmol_m-2_s-1]	iso_emis[umol_m-2]	mono_emis[umol_m-2]	mono_storage_emis[umol_m-2]	ovoc_emis[umol_m-2]	dN_nh4_throughf[kgN_L-1]	dN_no3_throughf[kgN_L-1]
setup	0	2006-01-11 23:00:00	ANGA	19	1936.1	1	0	0	2.62801e-07	2.44696e-05	0	0	5.70618e-05	0	0.00289589	0	0	-0.000451703	0.000258685	0.000190122	0.000430403	0	0.000879211	0.000343971	0.000965297	0.00457863	0.478988	0.0952014	0.0637818	0.0886815	0	0	0.152463	0.0952014	1.00914	10.6	6.1539e-07	0.0134452	0.00760251	0.0113426	0	0	0.00277078	0	0	0.000115917	0	0	0	0	0	6.93951e-07	0	0	0.604292	0.273005	23.9	0	0	0	0	0	0	6.88211e-07	6.84457e-07
setup	0	2006-01-12 23:00:00	ANGA	19	1957.2	1	0	0	2.82006e-07	2.42998e-05	0	0	5.11622e-05	0	0.00252601	0	0	-0.000459829	0.000250049	0.000218092	0.000417986	0	0.000886128	0.00031252	0.000842004	0.0041064	0.477335	0.0948087	0.069132	0.0882003	0	0	0.157332	0.0948087	1.00497	10.6	6.1459e-07	0.0135009	0.00820619	0.0113896	0	0	0.00285188	0	0	0.000115286	0	0	0	0	0	6.93049e-07	0	0	0.645859	0.271778	23.9	0	0	0	0	0	0	6.87819e-07	6.84277e-07
setup	0	2006-01-13 23:00:00	ANGA	19	1977.46	1	0	0	2.98919e-07	2.37945e-05	0	0	4.88563e-05	0	0.00303766	0	0	-0.000383168	0.000242978	0.000238793	0.00040638	0	0.000888151	0.000304129	0.00101255	0.00484201	0.476193	0.0944885	0.0756489	0.0877878	0	0	0.163437	0.0944885	1.00158	10.6	6.13791e-07	0.0135466	0.00850863	0.0114283	0	0	0.00292693	0	0	0.00011466	0	0	0	0	0	6.92148e-07	0	0	0.624812	0.313427	23.9	0	0	0	0	0	0	6.81875e-07	6.81552e-07
setup	0	2006-01-14 23:00:00	ANGA	19	1998.59	1	0	0	3.09151e-07	2.35123e-05	0	0	5.33286e-05	0	0.00295805	0	0	-0.000346139	0.000243472	0.000276036	0.00040924	0	0.000928749	0.00032514	0.000986016	0.0047668	0.475248	0.0942067	0.0819967	0.0874119	0	0	0.169409	0.0942067	0.998591	10.6	6.12993e-07	0.0135871	0.00874707	0.0114625	0	0	0.00299919	0	0	0.000114124	0	0	0	0	0	6.91248e-07	0	0	0.649682	0.284401	23.9	0	0	0	0	0	0	6.85994e-07	6.83441e-07
setup	0	2006-01-15 23:00:00	ANGA	19	2020.43	1	0	0	3.21609e-07	2.35767e-05	0	0	5.43343e-05	0	0.00236804	0	0	-0.000382849	0.000246183	0.00031865	0.000415267	0	0.000980101	0.000325777	0.000789347	0.00400479	0.474057	0.0939027	0.0869944	0.0870161	0	0	0.174011	0.0939027	0.995368	10.6	6.12196e-07	0.0136311	0.00913844	0.0114997	0	0	0.00307565	0	0	0.000113635	0	0	0	0	0	6.90349e-07	0	0	0.645357	0.220945	23.9	0	0	0	0	0	0	6.83302e-07	6.82207e-07
setup	0	2006-01-16 23:00:00	ANGA	19	2041.97	1	0	0	3.34422e-07	2.36272e-05	0	0	5.27685e-05	0	0.00274734	0	0	-0.000336296	0.000252896	0.000345331	0.000414817	0	0.00101304	0.000320584	0.000915781	0.00460745	0.473187	0.0936407	0.092857	0.0866603	0	0	0.179517	0.0936407	0.992592	10.6	6.11401e-07	0.0136693	0.00941058	0.0115319	0	0	0.00315319	0	0	0.000113121	0	0	0	0	0	6.89452e-07	0	0	0.693336	0.305231	23.9	0	0	0	0	0	0	6.89808e-07	6.85189e-07
setup	0	2006-01-17 23:00:00	ANGA	19	2063.26	1	0	0	3.51971e-07	2.36415e-05	0	0	5.15744e-05	0	0.00271017	0	0	-0.000323809	0.000250727	0.000375044	0.000412197	0	0.00103797	0.00031445	0.000903391	0.0045986	0.472394	0.093394	0.098635	0.0863193	0	0	0.184954	0.093394	0.989977	10.6	6.10606e-07	0.0137054	0.00964342	0.0115624	0	0	0.00322923	0	0	0.000112658	0	0	0	0	0	6.88555e-07	0	0	0.693486	0.312525	23.9	0	0	0	0	0	0	6.8436e-07	6.82692e-07
setup	0	2006-01-18 23:00:00	ANGA	19	2084.54	1	0	0	3.70747e-07	2.35091e-05	0	0	5.13718e-05	0	0.00276275	0	0	-0.000288043	0.00024973	0.00040573	0.000410755	0	0.00106622	0.000313814	0.000920918	0.00472354	0.471791	0.0931793	0.104548	0.0860086	0	0	0.190556	0.0931793	0.9877	10.6	6.09812e-07	0.013737	0.00982668	0.011589	0	0	0.00330411	0	0	0.000112215	0	0	0	0	0	6.8766e-07	0	0	0.690049	0.316235	23.9	0	0	0	0	0	0	6.83803e-07	6.82436e-07
setup	0	2006-01-19 23:00:00	ANGA	19	2105.38	1	0	0	3.83582e-07	2.32476e-05	0	0	4.90937e-05	0	0.00258556	0	0	-0.00028019	0.000242859	0.000433	0.000406132	0	0.00108199	0.00030103	0.000861853	0.00452413	0.471202	0.0929748	0.110064	0.0857081	0	0	0.195772	0.0929748	0.985533	10.6	6.09019e-07	0.0137672	0.0100234	0.0116146	0	0	0.00337868	0	0	0.000111811	0	0	0	0	0	6.86766e-07	0	0	0.662649	0.283249	23.9	0	0	0	0	0	0	6.81922e-07	6.81574e-07
setup	0	2006-01-20 23:00:00	ANGA	19	2126.29	1	0	0	4.0384e-07	2.2966e-05	0	0	4.79165e-05	0	0.00241662	0	0	-0.000267104	0.0002432	0.000465367	0.000404931	0	0.0011135	0.000293594	0.000805539	0.00431494	0.470648	0.0927837	0.115208	0.0854205	0	0	0.200628	0.0927837	0.983507	10.6	6.08228e-07	0.0137955	0.0102124	0.0116385	0	0	0.00345072	0	0	0.00011142	0	0	0	0	0	6.85874e-07	0	0	0.626095	0.26532	23.9	0	0	0	0	0	0	6.814e-07	6.81335e-07
