source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter[kgCha-1]	dN_litter[kgNha-1]	dN_dep[kgNha-1]	dN_up_floor[kgNha-1]	dN_up_min[kgNha-1]	dN_mineral_floor[kgNha-1]	dN_mineral_min[kgNha-1]	dN_nitrify_floor[kgNha-1]	dN_nitrify_min[kgNha-1]	dN_denitrify_floor[kgNha-1]	dN_denitrify_min[kgNha-1]	dN_chemo_floor[kgNha-1]	dN_chemo_min[kgNha-1]	C_plants_floor[kgCha-1]	C_plants_min[kgCha-1]	C_soil_floor[kgCha-1]	C_soil_min[kgCha-1]	C_aorg_floor[kgCha-1]	C_aorg_min[kgCha-1]	C_litter_raw[kgCha-1]	C_litter_floor[kgCha-1]	C_litter_min[kgCha-1]	C_mic_floor[kgCha-1]	C_mic_min[kgCha-1]	C_sol_floor[kgCha-1]	C_sol_min[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants_floor[kgNha-1]	N_plants_min[kgNha-1]	N_soil_floor[kgNha-1]	N_soil_min[kgNha-1]	N_aorg_floor[kgNha-1]	N_aorg_min[kgNha-1]	N_litter_raw[kgNha-1]	N_litter_floor[kgNha-1]	N_litter_min[kgNha-1]	N_mic_floor[kgNha-1]	N_mic_min[kgNha-1]	N_sol_floor[kgNha-1]	N_sol_min[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2006-01-11 23:00:00	0	9.64496	3.62183	1.40263e-06	0	0.00225847	0.0013275	0.00070952	0.00338719	0.0395263	5.85242e-07	0	0	0	0.521625	0.00693951	0.0137267	0	0.247324	-0	0.34711	-0	0.333276	-0	0.0444605	-0	5.56682e-08	0	686.085	0	76474.3	0	155.424	0.665271	0	9.28829	0	149.565	0	0.0223305	0	0	0	14.9078	0	4918.21	0	16.1645	0.0099773	0	0.121229	0	17.0904	0	1.97701	0	0	0.328399
setup	0	2006-01-12 23:00:00	0	9.48599	3.54707	2.54587e-05	0	0.00220259	0.00139505	0.000682885	0.00358858	0.0430727	4.13286e-07	0	0	0	0.518787	0.00693049	0.013721	0	0.245818	-0	0.343272	-0	0.331273	-0	0.0499322	-0	5.49695e-08	0	707.996	0	76471.3	0	155.642	0.655882	0	9.57334	0	149.47	0	0.0216182	0	0	0	15.7188	0	4917.93	0	16.1216	0.00983649	0	0.124692	0	17.0416	0	1.92998	0	0	0.330893
setup	0	2006-01-13 23:00:00	0	9.49302	3.43217	0.000113692	0	0.00180314	0.00107182	0.000677515	0.00376463	0.0382226	4.44437e-07	0	0	0	0.515972	0.00692148	0.0136343	0	0.240935	-0	0.33087	-0	0.322256	-0	0.0462423	-0	5.17646e-08	0	735.465	0	76468.3	0	155.892	0.647176	0	9.87338	0	149.38	0	0.0209454	0	0	0	16.4693	0	4917.66	0	16.0863	0.00970593	0	0.12844	0	16.9883	0	1.88942	0	0	0.328984
setup	0	2006-01-14 23:00:00	0	10.1042	3.42419	0.000119735	0	0.00163933	0.000933225	0.000652581	0.0037182	0.0356664	4.51871e-07	0	0	0	0.513559	0.00691248	0.0136943	0	0.238214	-0	0.327446	-0	0.319088	-0	0.0428774	-0	5.11397e-08	0	762.339	0	76465.4	0	156.167	0.638206	0	10.1825	0	149.262	0	0.0207629	0	0	0	17.1919	0	4917.4	0	16.0557	0.0095714	0	0.132371	0	16.9354	0	1.84986	0	0	0.329947
setup	0	2006-01-15 23:00:00	0	10.5969	3.4863	0.000130756	0	0.00155037	0.000747675	0.000682175	0.00382322	0.0306904	5.32021e-07	0	0	0	0.511359	0.00690349	0.0136551	0	0.238983	-0	0.327953	-0	0.319513	-0	0.0360218	-0	5.11474e-08	0	783.047	0	76462.4	0	156.41	0.629231	0	10.4947	0	149.187	0	0.0232595	0	0	0	17.9565	0	4917.14	0	16.0278	0.00943679	0	0.136394	0	16.8868	0	1.81355	0	0	0.309444
setup	0	2006-01-16 23:00:00	0	10.8073	3.5196	0.000190651	0	0.00150678	0.000663885	0.000647086	0.00365662	0.0294935	4.04915e-07	0	0	0	0.509044	0.00689452	0.01375	0	0.239616	-0	0.331957	-0	0.321892	-0	0.0353854	-0	5.42892e-08	0	807.828	0	76459.4	0	156.69	0.62011	0	10.811	0	149.024	0	0.0262124	0	0	0	18.7319	0	4916.89	0	16.0027	0.00930001	0	0.140524	0	16.8356	0	1.77561	0	0	0.313188
setup	0	2006-01-17 23:00:00	0	11.0169	3.53971	0.000379133	0	0.00150515	0.000483529	0.000668699	0.00362441	0.0248897	4.28657e-07	0	0	0	0.506963	0.00688555	0.0136705	0	0.239935	-0	0.329701	-0	0.320875	-0	0.0297428	-0	5.31359e-08	0	832.294	0	76456.4	0	156.963	0.611237	0	11.1303	0	148.893	0	0.0318082	0	0	0	19.4923	0	4916.64	0	15.9807	0.00916693	0	0.14474	0	16.7863	0	1.74192	0	0	0.309228
setup	0	2006-01-18 23:00:00	0	11.303	3.53478	0.000348568	0	0.00149764	0.000306907	0.000676384	0.00350833	0.0213174	4.49727e-07	0	0	0	0.504968	0.0068766	0.0136624	0	0.238799	-0	0.326792	-0	0.318159	-0	0.0268337	-0	5.24298e-08	0	857.503	0	76453.4	0	157.171	0.602537	0	11.4532	0	148.835	0	0.0373467	0	0	0	20.2411	0	4916.39	0	15.9538	0.00903646	0	0.149047	0	16.7443	0	1.71075	0	0	0.307606
setup	0	2006-01-19 23:00:00	0	11.4016	3.47949	0.000235183	0	0.00148189	0.000105964	0.000696913	0.00344547	0.0180395	5.02292e-07	0	0	0	0.50315	0.00686766	0.013635	0	0.236312	-0	0.32043	-0	0.31282	-0	0.0243256	-0	5.04727e-08	0	880.974	0	76450.4	0	157.364	0.594281	0	11.781	0	148.799	0	0.0412176	0	0	0	20.9868	0	4916.15	0	15.9277	0.00891264	0	0.153457	0	16.7034	0	1.68197	0	0	0.313045
setup	0	2006-01-20 23:00:00	0	11.6389	3.44968	7.62816e-05	0	0.00145373	4.26313e-08	0.000719724	0.00335649	0.015012	5.73745e-07	0	0	0	0.501392	0.00685874	0.0136273	0	0.233699	-0	0.315134	-0	0.308011	-0	0.0213507	-0	4.97363e-08	0	902.827	0	76447.4	0	157.578	0.586345	0	12.1122	0	148.76	0	0.0491855	0	0	0	21.7072	0	4915.92	0	15.9071	0.00879362	0	0.157946	0	16.6595	0	1.65676	0	0	0.303006
