datetime	nee	h2o	LE	H	ET	LAI	SWC_1	SWC_2	SWC_3
01/08/2018	2.044343306	0.744041372	33.57994446	29.56297097	0.966	0.3	27.5768056	42.3940278	22.7117361
02/08/2018	1.734306901	0.836755402	37.98465358	36.19551192	1.138		27.8771528	42.4634722	21.4767361
03/08/2018	1.527134994	0.844099001	38.20442598	38.93546962	1.168		27.5343224	42.1274038	20.569391
04/08/2018	1.021779366	0.81921498	37.14165969	43.40815305	1.212		27.967507	41.7507348	19.7327502
05/08/2018	0.709803354	0.756192227	34.27667223	45.80647682	1.117	0.3	27.7650694	41.6855556	19.0018056
06/08/2018	0.49074765	0.696225693	31.62953385	48.01998047	1.021		27.5413889	41.6236806	18.6493056
07/08/2018	0.210738178	0.662449785	29.92319118	52.92635638	1.016		27.509375	41.6893056	18.4036111
08/08/2018	0.1136291	0.621639348	27.8330137	51.78883459	0.967		27.4632639	40.9131944	17.6332639
09/08/2018	-0.067487081	0.587911468	26.31437619	55.60689767	0.922	0.3	27.5062587	40.2920723	16.7123783
10/08/2018	-0.174084749	0.566205679	25.35134042	58.39127555	0.895		27.5122917	39.4820139	15.7025694
11/08/2018	-0.138732157	0.51349974	22.88473482	56.61192205	0.811		27.5300558	38.7713389	15.0308926
12/08/2018	-0.087393968	0.433933141	19.31500987	53.36063479	0.684		27.3527778	38.06375	14.4295833
13/08/2018	-0.052400309	0.366963255	16.36281106	51.43188539	0.581	0.3	27.1925	37.3239583	13.6538194
14/08/2018	-0.030633889	0.331941624	14.7710468	50.86071459	0.525		26.8207639	36.3164583	12.961875
15/08/2018	-0.022975102	0.318688134	14.18388486	51.21937562	0.505		27.1947917	35.7645139	12.360625
16/08/2018	-0.025231509	0.298500117	13.2895725	49.5565972	0.48		27.1763194	35.0751389	11.8930556
17/08/2018	-0.022854223	0.278357196	12.39449256	48.40182364	0.452	0.3	26.859375	34.2354167	11.5963889
18/08/2018	0.005973212	0.253673553	11.29881196	47.4984325	0.415		26.6639066	33.6146789	11.4716302
19/08/2018	0.08479453	0.223214993	9.742731457	44.12953408	0.366		26.6008333	33.2303472	11.3803472
20/08/2018	0.064497405	0.22490448	9.814577037	45.33199607	0.365		26.2485654	32.5711686	11.2486354
21/08/2018	0.034531927	0.206131451	9.119245928	46.30262262	0.343	0.3	26.6803472	32.1336111	10.999375
22/08/2018	0.018715266	0.20874875	9.22946542	49.07616376	0.349		26.3172222	31.6409722	10.9548611
23/08/2018	0.174711017	0.242117745	10.70973789	46.12480839	0.4		26.0463889	31.1501389	10.6699306
24/08/2018	0.233000771	0.256236998	11.33627454	44.60113499	0.421		26.3824306	30.3971528	10.5265972
25/08/2018	0.269625662	0.260110657	11.50852321	43.37237416	0.424	0.4	26.6198198	30.349009	10.2857658
26/08/2018	0.283368377	0.261115222	11.55374409	44.41220946	0.423		-99.99	-99.99	-99.99
27/08/2018	0.361025798	0.246494533	10.91079638	41.31271977	0.399		-99.99	-99.99	-99.99
28/08/2018	0.390500647	0.24515384	10.85106416	40.68586289	0.398		-99.99	-99.99	-99.99
29/08/2018	0.392308793	0.240974789	10.66759561	40.1273718	0.391	0.3	-99.99	-99.99	-99.99
30/08/2018	0.406891421	0.228292034	10.10902534	39.39427107	0.375		-99.99	-99.99	-99.99
31/08/2018	0.402271732	0.243444716	10.77710892	43.41288754	0.4		-99.99	-99.99	-99.99
01/09/2018	0.426009945	0.23213715	10.27877549	44.73175649	0.384		26.390205	27.4702733	9.7187927
02/09/2018	0.242236638	0.203810509	9.016656151	53.84088785	0.341	0.4	26.2146528	27.388125	9.5884722
03/09/2018	0.202747182	0.193047189	8.535001998	58.67813632	0.329		25.9695139	27.2544444	9.5454861
04/09/2018	0.191890938	0.1934821	8.344221275	62.88832366	0.334		26.0357639	27.0530556	9.5288194
05/09/2018	0.214172652	0.197908696	8.534024629	65.55252226	0.343		25.6064583	27.0204861	9.7073611
06/09/2018	0.161557843	0.204262727	8.810805519	72.46670753	0.355	0.2	25.9388889	27.0379861	9.6413889
07/09/2018	0.107950622	0.212161865	9.15635701	79.21890748	0.371		25.8485734	26.9505219	9.6235212
08/09/2018	0.092596356	0.215841096	9.315215106	84.81692506	0.387		25.7173611	26.8244444	9.5190278
09/09/2018	0.108376935	0.219393669	9.468477126	87.01561304	0.392		26.0899306	26.6817361	9.4902083
