row,time,.lai.sim.val
155,2018-06-05T23:00:00,0.0
156,2018-06-06T23:00:00,0.0
157,2018-06-07T23:00:00,0.00336665
158,2018-06-08T23:00:00,0.00425006
159,2018-06-09T23:00:00,0.00534085
160,2018-06-10T23:00:00,0.00668092
161,2018-06-11T23:00:00,0.008318899999999999
162,2018-06-12T23:00:00,0.0103109
163,2018-06-13T23:00:00,0.0127212
164,2018-06-14T23:00:00,0.0156227
165,2018-06-15T23:00:00,0.0190977
166,2018-06-16T23:00:00,0.023237999999999998
167,2018-06-17T23:00:00,0.0281458
168,2018-06-18T23:00:00,0.033933099999999994
169,2018-06-19T23:00:00,0.0407219
170,2018-06-20T23:00:00,0.0486437
171,2018-06-21T23:00:00,0.0578389
172,2018-06-22T23:00:00,0.0684554
173,2018-06-23T23:00:00,0.0806472
174,2018-06-24T23:00:00,0.0945725
175,2018-06-25T23:00:00,0.110391
176,2018-06-26T23:00:00,0.12826300000000002
177,2018-06-27T23:00:00,0.148341
178,2018-06-28T23:00:00,0.170772
179,2018-06-29T23:00:00,0.19569
180,2018-06-30T23:00:00,0.22321100000000002
181,2018-07-01T23:00:00,0.253431
182,2018-07-02T23:00:00,0.286419
183,2018-07-03T23:00:00,0.322211
184,2018-07-04T23:00:00,0.360806
185,2018-07-05T23:00:00,0.40216
186,2018-07-06T23:00:00,0.446196
187,2018-07-07T23:00:00,0.49278500000000003
188,2018-07-08T23:00:00,0.54173
189,2018-07-09T23:00:00,0.5927939999999999
190,2018-07-10T23:00:00,0.6456649999999999
191,2018-07-11T23:00:00,0.699996
192,2018-07-12T23:00:00,0.755332
193,2018-07-13T23:00:00,0.811229
194,2018-07-14T23:00:00,0.867158
195,2018-07-15T23:00:00,0.92245
196,2018-07-16T23:00:00,0.9767110000000001
197,2018-07-17T23:00:00,1.0295299999999998
198,2018-07-18T23:00:00,1.0802399999999999
199,2018-07-19T23:00:00,1.1276899999999999
200,2018-07-20T23:00:00,1.17145
201,2018-07-21T23:00:00,1.21154
202,2018-07-22T23:00:00,1.2463899999999999
203,2018-07-23T23:00:00,1.27789
204,2018-07-24T23:00:00,1.3032299999999999
205,2018-07-25T23:00:00,1.32307
206,2018-07-26T23:00:00,1.33612
207,2018-07-27T23:00:00,1.34481
208,2018-07-28T23:00:00,1.3475
209,2018-07-29T23:00:00,1.34693
210,2018-07-30T23:00:00,1.3462
211,2018-07-31T23:00:00,1.34574
212,2018-08-01T23:00:00,1.34484
213,2018-08-02T23:00:00,1.34474
214,2018-08-03T23:00:00,1.34501
215,2018-08-04T23:00:00,1.34392
216,2018-08-05T23:00:00,1.34317
217,2018-08-06T23:00:00,1.34159
218,2018-08-07T23:00:00,1.34103
219,2018-08-08T23:00:00,1.34006
220,2018-08-09T23:00:00,1.33912
221,2018-08-10T23:00:00,1.33789
222,2018-08-11T23:00:00,1.33554
223,2018-08-12T23:00:00,1.33323
224,2018-08-13T23:00:00,1.33063
225,2018-08-14T23:00:00,1.32702
226,2018-08-15T23:00:00,1.32382
227,2018-08-16T23:00:00,1.3196700000000001
228,2018-08-17T23:00:00,1.3148
229,2018-08-18T23:00:00,1.30928
230,2018-08-19T23:00:00,1.30356
