row,time,.evapotranspiration.sim.val
128,2018-05-09T23:00:00,1.1125199
129,2018-05-10T23:00:00,1.1259107
130,2018-05-11T23:00:00,1.1727546
131,2018-05-12T23:00:00,0.9794846
132,2018-05-13T23:00:00,0.9966162199999999
133,2018-05-14T23:00:00,1.11843317
134,2018-05-15T23:00:00,0.958713881
135,2018-05-16T23:00:00,0.9551740419
136,2018-05-17T23:00:00,0.9413480298000001
137,2018-05-18T23:00:00,0.913991
138,2018-05-19T23:00:00,0.939575
139,2018-05-20T23:00:00,0.935738
140,2018-05-21T23:00:00,1.076392
141,2018-05-22T23:00:00,0.9387780000000001
142,2018-05-23T23:00:00,0.9246150000000001
143,2018-05-24T23:00:00,0.933206
144,2018-05-25T23:00:00,0.9676840000000001
145,2018-05-26T23:00:00,0.937117
146,2018-05-27T23:00:00,0.931632
147,2018-05-28T23:00:00,0.84045
148,2018-05-29T23:00:00,0.796351
149,2018-05-30T23:00:00,0.8726039999999999
150,2018-05-31T23:00:00,0.9222899999999999
151,2018-06-01T23:00:00,0.953487
152,2018-06-02T23:00:00,0.951033
153,2018-06-03T23:00:00,0.930867
154,2018-06-04T23:00:00,0.9256390000000001
155,2018-06-05T23:00:00,0.882087
156,2018-06-06T23:00:00,0.866465
157,2018-06-07T23:00:00,0.84493333
158,2018-06-08T23:00:00,0.85025752
159,2018-06-09T23:00:00,0.865739460943
160,2018-06-10T23:00:00,0.7852663723960001
161,2018-06-11T23:00:00,0.7465237201139999
162,2018-06-12T23:00:00,0.8500672541700001
163,2018-06-13T23:00:00,0.85810207314
164,2018-06-14T23:00:00,0.85052081484
165,2018-06-15T23:00:00,0.85711821692
166,2018-06-16T23:00:00,0.8462553654
167,2018-06-17T23:00:00,0.8063158666
168,2018-06-18T23:00:00,0.8276887572999999
169,2018-06-19T23:00:00,0.8240584014
170,2018-06-20T23:00:00,0.8188737500000001
171,2018-06-21T23:00:00,0.85956155
172,2018-06-22T23:00:00,0.8481762709999999
173,2018-06-23T23:00:00,0.854604235
174,2018-06-24T23:00:00,0.82928544
175,2018-06-25T23:00:00,0.8268191700000002
176,2018-06-26T23:00:00,0.8406252900000001
177,2018-06-27T23:00:00,0.8328171799999999
178,2018-06-28T23:00:00,0.7806629700000001
179,2018-06-29T23:00:00,0.8555847
180,2018-06-30T23:00:00,0.8653525999999999
181,2018-07-01T23:00:00,0.8770572
182,2018-07-02T23:00:00,0.8791087000000001
183,2018-07-03T23:00:00,0.9132964
184,2018-07-04T23:00:00,0.9127729
185,2018-07-05T23:00:00,0.9241409
186,2018-07-06T23:00:00,0.856603
187,2018-07-07T23:00:00,1.019007
188,2018-07-08T23:00:00,1.068937
189,2018-07-09T23:00:00,1.138244
190,2018-07-10T23:00:00,1.22265
