#%info
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#
#%abbreviations
#   NEE = "Co2 flux"
#   H2O = "H2O flux"
#   LE = "Latent heat flux"
#   H = "sensible heat flux"
#   ET = "Evapotranspiration"
#   LAI = "LAI"
#%units
#   NEE = "micromolm-2s-1"
#   H2O = "mmol+1s-1m-2"
#   LE = "W+1m-2"
#   H = "W+1m-2"
#   ET = "mm+1hour-1"
#   LAI = "m2 m-2"
#

#%data
datetime	nee	h2o	LE	H	ET LAI
2018-09-29	0.0501779	0.121741551	5.325217332	80.0927792	0.007831429	-99.99
2018-09-30	0.017187817	0.105680098	4.549187274	80.6232872	0.006694781	0.3
2018-10-01	0.011599971	0.104878432	4.49262223	80.88443391	0.0066111	-99.99
2018-10-02	0.171897562	0.175015897	7.592489496	79.82884302	0.011156004	-99.99
2018-10-03	0.503184007	0.308661662	13.49835586	74.72184439	0.019816248	-99.99
2018-10-04	0.69569553	0.383374921	16.79819861	72.8133562	0.024657666	0.4
2018-10-05	0.813163569	0.427366916	18.80260293	69.71429133	0.027597502	-99.99
2018-10-06	0.87120626	0.479776634	21.11507087	68.91898953	0.030993651	-99.99
2018-10-07	0.893994229	0.507450643	22.33493182	69.82490524	0.032786928	-99.99
2018-10-08	0.967567599	0.527120391	23.16523728	66.26693833	0.034006083	0.2
2018-10-09	0.959297715	0.544411721	23.92660807	67.28445912	0.035126561	-99.99
2018-10-10	0.999650721	0.561216307	24.73293332	66.33271989	0.036311365	-99.99
2018-10-11	1.039388771	0.568876305	25.10062419	65.65418936	0.03685251	-99.99
2018-10-12	0.842359558	0.512187404	22.53915666	69.29704522	0.033100308	0.2
2018-10-13	0.502512952	0.385916334	16.95741605	75.14875811	0.024917942	-99.99
2018-10-14	0.300458115	0.312083991	13.66349237	78.98344102	0.020086447	-99.99
2018-10-15	0.171795208	0.276918707	12.10901627	81.56585139	0.017807739	-99.99
2018-10-16	0.11704524	0.239204819	10.43959013	81.91299847	0.015534343	0.3
2018-10-17	0.062740095	0.213655776	9.313501421	84.11186008	0.013878764	-99.99
2018-10-18	0.137404743	0.261582332	11.48248269	81.40658954	0.01703985	-99.99
2018-10-19	0.21223707	0.295362423	12.984759	76.25724504	0.019649897	-99.99
2018-10-20	0.250918951	0.383628057	16.89916371	72.0530614	0.025672783	0.3
2018-10-21	0.297423513	0.419432786	18.34546178	68.87618623	0.028004622	-99.99
2018-10-22	0.402162723	0.512288233	22.41393704	63.94045018	0.034265806	-99.99
2018-10-23	0.514930544	0.580003446	25.40959543	60.71455165	0.038653757	-99.99
2018-10-24	0.532463262	0.648050204	28.44743264	58.21372137	0.043110346	0.3
2018-10-25	0.571937625	0.670999229	29.46060964	56.18212783	0.044597444	-99.99
2018-10-26	0.56222992	0.683077394	29.99725513	57.64851137	0.045209647	-99.99
2018-10-27	0.599779124	0.691793362	30.38128907	55.04292058	0.045774442	-99.99
2018-10-28	0.564682679	0.744810634	32.70255672	57.79844216	0.049209962	0.4
2018-10-29	0.56597296	0.76519789	33.59254484	62.92553701	0.05010996	-99.99
2018-10-30	0.533403394	0.721740791	31.65616023	66.13917468	0.046990666	-99.99
2018-10-31	0.433657737	0.725441036	31.92163022	70.79639493	0.04717397	-99.99
2018-11-01	0.300378179	0.645285546	28.4641838	75.08588523	0.042320428	0.3
2018-11-02	0.187670014	0.591504641	25.96005649	78.22881362	0.038654337	-99.99
2018-11-03	0.16499862	0.536016565	23.50462769	79.68768464	0.03505871	-99.99
2018-11-04	0.186002962	0.503595427	22.07315944	77.17680588	0.033242415	-99.99
2018-11-05	0.18596623	0.485622328	21.28083582	75.7156573	0.032077758	0.4
2018-11-06	0.093456279	0.487288635	21.36996052	78.37842278	0.032210183	-99.99
2018-11-07	-0.05287191	0.386446112	17.02517387	82.28107391	0.025609802	-99.99
2018-11-08	-0.16179042	0.319787876	14.08289585	82.97560718	0.021290347	-99.99
2018-11-09	-0.219632283	0.268239695	11.80822414	85.43988849	0.017950023	0.2
2018-11-10	-0.224220766	0.228018962	9.985237142	85.65661462	0.015273054	-99.99
2018-11-11	-0.229141585	0.216044021	9.457355999	86.20223802	0.013991157	-99.99
2018-11-12	-0.225027239	0.197232024	8.728943547	82.98608079	0.013070841	-99.99
2018-11-13	-0.211502364	0.1881886	8.336077099	84.64683659	0.012630869	0.2
2018-11-14	-0.236592483	0.183890672	8.014264551	89.21670231	0.012041353	-99.99
2018-11-15	0.169192189	0.385602779	16.93133681	85.32518206	0.025112293	-99.99
2018-11-16	0.583703896	0.535244433	23.53648763	77.89382256	0.034784624	-99.99
2018-11-17	0.920002928	0.662309814	29.04260809	71.73853701	0.043084244	0.3
2018-11-18	1.140079882	0.831342936	36.49783132	68.28544129	0.054037594	-99.99
2018-11-19	1.271433921	0.948878663	41.68491694	64.36907155	0.061653912	-99.99
2018-11-20	1.313913246	1.121171903	49.34404601	59.92262206	0.072889186	-99.99
2018-11-21	1.33717756	1.314364688	57.89199224	53.9886903	0.085408082	0.3
2018-11-22	1.382521805	1.504493328	66.307454	51.97657017	0.097610802	-99.99
2018-11-23	1.345923949	1.6711079	73.65859781	45.75353305	0.108261388	-99.99
2018-11-24	1.202612089	1.843851739	81.42709381	39.62658943	0.119481599	-99.99
2018-11-25	0.714759328	1.862309043	82.23734172	38.9528713	0.120677638	0.4
2018-11-26	0.249462879	1.873116566	82.71745132	39.31297991	0.121377969	-99.99
2018-11-27	-0.141371986	1.882009892	83.11337039	38.12276498	0.121954261	-99.99
2018-11-28	-0.635863898	1.915481193	84.5919447	37.99713317	0.124123199	-99.99
2018-11-29	-1.049563321	1.966793652	86.85830085	35.39370162	0.127448245	0.3
2018-11-30	-1.430562678	1.96942052	86.97613522	33.81823478	0.127618465	-99.99
2018-12-01	-1.688252233	2.02500212	89.39628503	33.97949515	0.131220146	-99.99
2018-12-02	-1.987423856	2.071464411	91.434489	34.35652461	0.134230898	-99.99
2018-12-03	-2.308752419	2.071350801	91.44208554	32.58252598	0.134223534	0.4
2018-12-04	-2.521580939	2.120819697	93.60732912	32.70198791	0.137429122	-99.99
2018-12-05	-2.425242856	2.022730669	89.27783614	30.80041281	0.131072948	-99.99
2018-12-06	-2.42056177	1.990083704	87.83505261	29.9628132	0.128957427	-99.99
2018-12-07	-2.613292172	2.049729262	90.4516784	29.59457236	0.13282246	0.4
2018-12-08	-2.592028504	2.053518628	90.62592325	28.37927447	0.133068013	-99.99
2018-12-09	-2.455369548	2.077335175	91.68048636	28.36371823	0.134611328	-99.99
2018-12-10	-2.412858248	2.08982245	92.23699148	27.9463237	0.135420502	-99.99
2018-12-11	-2.281996916	2.048557132	90.51456228	28.18681679	0.132869363	0.4
2018-12-12	-2.129774434	2.063210827	91.16914342	27.60931778	0.133818926	-99.99
2018-12-13	-1.982533217	2.120748969	93.68576928	29.5068373	0.137547399	-99.99
2018-12-14	-1.658446036	2.040367418	90.14818035	28.15553318	0.132338667	-99.99
2018-12-15	-1.700648677	2.104975299	92.99139317	29.19359829	0.13652526	0.5
2018-12-16	-1.776711997	2.136341896	94.35806391	29.75066567	0.138557805	-99.99
2018-12-17	-1.68297176	2.095568562	92.56160766	30.34045534	0.135915685	-99.99
2018-12-18	-1.685133822	2.07702814	91.73148735	30.42317471	0.134714256	-99.99
2018-12-19	-1.811540347	2.060707299	91.00863592	31.70736647	0.133656665	0.6
2018-12-20	-1.727168343	2.036357135	89.91948527	32.08864356	0.132078775	-99.99
2018-12-21	-1.914112618	1.978378779	87.27869684	32.602374	0.128198925	-99.99
2018-12-22	-2.128087735	1.893485777	83.53613422	33.07877826	0.122697854	-99.99
2018-12-23	-2.141750227	1.836347279	81.01515748	33.56569981	0.118995281	0.7
2018-12-24	-2.427463924	1.879461872	82.90053343	35.75472369	0.121789113	-99.99
2018-12-25	-2.747825724	1.859095488	81.99440269	38.06946711	0.120469376	-99.99
2018-12-26	-2.927539877	1.838422165	81.08264558	41.3539228	0.119129753	-99.99
2018-12-27	-3.094448455	1.81419091	80.13536219	42.94356813	0.117731899	1.3
2018-12-28	-3.190910055	1.787666312	78.96415138	44.01803688	0.116013114	-99.99
2018-12-29	-3.272805203	1.762372631	77.83629178	45.28518118	0.11437408	-99.99
2018-12-30	-2.940217991	1.737012645	76.7330307	44.47621879	0.112730756	-99.99
2018-12-31	-2.698577488	1.736403754	76.71602557	43.96216994	0.112691299	1.3
2019-01-01	-2.677330356	1.781441273	78.69996706	44.74654609	0.115609738	-99.99
2019-01-02	-2.700684304	1.787983129	78.98513506	44.75213796	0.116033648	-99.99
2019-01-03	-2.659080072	1.766022841	78.04109712	44.9939405	0.114629769	-99.99
2019-01-04	-2.531792379	1.755216949	77.5859051	44.25981669	0.11395348	1.4
2019-01-05	-2.3492455	1.780345793	78.71321554	42.51219841	0.1156126	-99.99
2019-01-06	-2.105183956	1.75163832	77.28016218	41.92994157	0.113506175	-99.99
2019-01-07	-1.917798009	1.719121271	75.84869766	42.31429818	0.111399067	-99.99
2019-01-08	-1.611802792	1.72326158	76.04451416	40.79093339	0.111667361	1.4
