#%info
#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#   publications = "Kapiti"
#
#%abbreviations_from MODIS
#   LAI = "LAI"
#
#%units
#   LAI = "m2/m2"
#
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#%data
datetime	lai
2019-03-15	-99.99
2019-03-16	-99.99
2019-03-17	-99.99
2019-03-18	0.3
2019-03-19	-99.99
2019-03-20	-99.99
2019-03-21	-99.99
2019-03-22	1.2
2019-03-23	-99.99
2019-03-24	-99.99
2019-03-25	-99.99
2019-03-26	1.1
2019-03-27	-99.99
2019-03-28	-99.99
2019-03-29	-99.99
2019-03-30	1.1
2019-03-31	-99.99
2019-04-01	-99.99
2019-04-02	-99.99
2019-04-03	1.2
2019-04-04	-99.99
2019-04-05	-99.99
2019-04-06	-99.99
2019-04-07	0.9
2019-04-08	-99.99
2019-04-09	-99.99
2019-04-10	-99.99
2019-04-11	0.5
2019-04-12	-99.99
2019-04-13	-99.99
2019-04-14	-99.99
2019-04-15	0.7
2019-04-16	-99.99
2019-04-17	-99.99
2019-04-18	-99.99
2019-04-19	0.5
2019-04-20	-99.99
2019-04-21	-99.99
2019-04-22	-99.99
2019-04-23	0.6
2019-04-24	-99.99
2019-04-25	-99.99
2019-04-26	-99.99
2019-04-27	0.2
2019-04-28	-99.99
2019-04-29	-99.99
2019-04-30	-99.99
2019-05-01	0.5
2019-05-02	-99.99
2019-05-03	-99.99
2019-05-04	-99.99
2019-05-05	0.4
2019-05-06	-99.99
2019-05-07	-99.99
2019-05-08	-99.99
2019-05-09	0.2
2019-05-10	-99.99
2019-05-11	-99.99
2019-05-12	-99.99
2019-05-13	0.5
2019-05-14	-99.99
2019-05-15	-99.99
2019-05-16	-99.99
2019-05-17	0.4
2019-05-18	-99.99
2019-05-19	-99.99
2019-05-20	-99.99
2019-05-21	0.5
2019-05-22	-99.99
2019-05-23	-99.99
2019-05-24	-99.99
2019-05-25	0.2
2019-05-26	-99.99
2019-05-27	-99.99
2019-05-28	-99.99
2019-05-29	0.2
2019-05-30	-99.99
2019-05-31	-99.99
2019-06-01	-99.99
2019-06-02	0.1
2019-06-03	-99.99
2019-06-04	-99.99
2019-06-05	-99.99
2019-06-06	0.3
2019-06-07	-99.99
2019-06-08	-99.99
2019-06-09	-99.99
2019-06-10	0.4
2019-06-11	-99.99
2019-06-12	-99.99
2019-06-13	-99.99
2019-06-14	0.5
2019-06-15	-99.99
2019-06-16	-99.99
2019-06-17	-99.99
2019-06-18	0.2
2019-06-19	-99.99
2019-06-20	-99.99
2019-06-21	-99.99
2019-06-22	0.5
2019-06-23	-99.99
2019-06-24	-99.99
2019-06-25	-99.99
2019-06-26	0.6
2019-06-27	-99.99
2019-06-28	-99.99
2019-06-29	-99.99
2019-06-30	1.3
2019-07-01	-99.99
2019-07-02	-99.99
2019-07-03	-99.99
2019-07-04	0.7
2019-07-05	-99.99
2019-07-06	-99.99
2019-07-07	-99.99
2019-07-08	1.3
2019-07-09	-99.99
2019-07-10	-99.99
2019-07-11	-99.99
2019-07-12	1
2019-07-13	-99.99
2019-07-14	-99.99
2019-07-15	-99.99
2019-07-16	1.7
2019-07-17	-99.99
2019-07-18	-99.99
2019-07-19	-99.99
2019-07-20	1.4
2019-07-21	-99.99
2019-07-22	-99.99
2019-07-23	-99.99
2019-07-24	1.6
2019-07-25	-99.99
2019-07-26	-99.99
2019-07-27	-99.99
2019-07-28	1.5
2019-07-29	-99.99
2019-07-30	-99.99
2019-07-31	-99.99
2019-08-01	1.5
2019-08-02	-99.99
2019-08-03	-99.99
2019-08-04	-99.99
2019-08-05	1.1
2019-08-06	-99.99
2019-08-07	-99.99
2019-08-08	-99.99
2019-08-09	0.4
2019-08-10	-99.99
2019-08-11	-99.99
2019-08-12	-99.99
2019-08-13	1.4
2019-08-14	-99.99
2019-08-15	-99.99
2019-08-16	-99.99
2019-08-17	1.4
2019-08-18	-99.99
2019-08-19	-99.99
2019-08-20	-99.99
2019-08-21	1.5
2019-08-22	-99.99
2019-08-23	-99.99
2019-08-24	-99.99
2019-08-25	0.5
2019-08-26	-99.99
2019-08-27	-99.99
2019-08-28	-99.99
2019-08-29	2.1
2019-08-30	-99.99
2019-08-31	-99.99
2019-09-01	-99.99
2019-09-02	1.7
2019-09-03	-99.99
2019-09-04	-99.99
2019-09-05	-99.99
2019-09-06	1.7
2019-09-07	-99.99
2019-09-08	-99.99
2019-09-09	-99.99
2019-09-10	1.5
2019-09-11	-99.99
2019-09-12	-99.99
2019-09-13	-99.99
2019-09-14	0.2
2019-09-15	-99.99
2019-09-16	-99.99
2019-09-17	-99.99
2019-09-18	1.4
2019-09-19	-99.99
2019-09-20	-99.99
2019-09-21	-99.99
2019-09-22	1.8
2019-09-23	-99.99
2019-09-24	-99.99
2019-09-25	-99.99
2019-09-26	0.7
2019-09-27	-99.99
2019-09-28	-99.99
2019-09-29	-99.99
2019-09-30	0.6
2019-10-01	-99.99
2019-10-02	-99.99
2019-10-03	-99.99
2019-10-04	1.5
2019-10-05	-99.99
2019-10-06	-99.99
2019-10-07	-99.99
2019-10-08	2.1
2019-10-09	-99.99
2019-10-10	-99.99
2019-10-11	-99.99
2019-10-12	1.6
2019-10-13	-99.99
2019-10-14	-99.99
2019-10-15	-99.99
2019-10-16	2.1
2019-10-17	-99.99
2019-10-18	-99.99
2019-10-19	-99.99
2019-10-20	1.4
2019-10-21	-99.99
2019-10-22	-99.99
2019-10-23	-99.99
2019-10-24	1.7
2019-10-25	-99.99
2019-10-26	-99.99
2019-10-27	-99.99
2019-10-28	1.1
2019-10-29	-99.99
2019-10-30	-99.99
2019-10-31	-99.99
2019-11-01	1.3
2019-11-02	-99.99
2019-11-03	-99.99
2019-11-04	-99.99
2019-11-05	1.2
2019-11-06	-99.99
2019-11-07	-99.99
2019-11-08	-99.99
2019-11-09	1.2
2019-11-10	-99.99
2019-11-11	-99.99
2019-11-12	-99.99
2019-11-13	1
2019-11-14	-99.99
2019-11-15	-99.99
2019-11-16	-99.99
2019-11-17	1.5
2019-11-18	-99.99
2019-11-19	-99.99
2019-11-20	-99.99
2019-11-21	0.8
2019-11-22	-99.99
2019-11-23	-99.99
2019-11-24	-99.99
2019-11-25	1
2019-11-26	-99.99
2019-11-27	-99.99
2019-11-28	-99.99
2019-11-29	0.2
2019-11-30	-99.99
2019-12-01	-99.99
2019-12-02	-99.99
2019-12-03	1.3
2019-12-04	-99.99
2019-12-05	-99.99
2019-12-06	-99.99
2019-12-07	1.1
2019-12-08	-99.99
2019-12-09	-99.99
2019-12-10	-99.99
2019-12-11	1
2019-12-12	-99.99
2019-12-13	-99.99
2019-12-14	-99.99
2019-12-15	1
2019-12-16	-99.99
2019-12-17	-99.99
2019-12-18	-99.99
2019-12-19	0.1
2019-12-20	-99.99
2019-12-21	-99.99
2019-12-22	-99.99
2019-12-23	0.1
2019-12-24	-99.99
2019-12-25	-99.99
2019-12-26	-99.99
2019-12-27	0.3
2019-12-28	-99.99
2019-12-29	-99.99
2019-12-30	-99.99
2019-12-31	0.7
2020-01-01	1
2020-01-02	-99.99
2020-01-03	-99.99
2020-01-04	-99.99
2020-01-05	0.8
2020-01-06	-99.99
2020-01-07	-99.99
2020-01-08	-99.99
2020-01-09	0.3
2020-01-10	-99.99
2020-01-11	-99.99
2020-01-12	-99.99
2020-01-13	1.4
2020-01-14	-99.99
2020-01-15	-99.99
2020-01-16	-99.99
2020-01-17	1.7
2020-01-18	-99.99
2020-01-19	-99.99
2020-01-20	-99.99
2020-01-21	7
2020-01-22	-99.99
2020-01-23	-99.99
2020-01-24	-99.99
2020-01-25	1.5
2020-01-26	-99.99
2020-01-27	-99.99
2020-01-28	-99.99
2020-01-29	1.3
2020-01-30	-99.99
2020-01-31	-99.99
2020-02-01	-99.99
2020-02-02	0.8
2020-02-03	-99.99
2020-02-04	-99.99
2020-02-05	-99.99
2020-02-06	1.3
2020-02-07	-99.99
2020-02-08	-99.99
2020-02-09	-99.99
2020-02-10	0.3
2020-02-11	-99.99
2020-02-12	-99.99
2020-02-13	-99.99
2020-02-14	0.3
2020-02-15	-99.99
2020-02-16	-99.99
2020-02-17	-99.99
2020-02-18	0.3
2020-02-19	-99.99
2020-02-20	-99.99
2020-02-21	-99.99
2020-02-22	0.7
2020-02-23	-99.99
2020-02-24	-99.99
2020-02-25	-99.99
2020-02-26	0.9
2020-02-27	-99.99
2020-02-28	-99.99
2020-02-29	-99.99
2020-03-01	0.8
2020-03-02	-99.99
2020-03-03	-99.99
2020-03-04	-99.99
2020-03-05	0.7
2020-03-06	-99.99
2020-03-07	-99.99
2020-03-08	-99.99
2020-03-09	0.1
2020-03-10	-99.99
2020-03-11	-99.99
2020-03-12	-99.99
2020-03-13	0.7
2020-03-14	-99.99
2020-03-15	-99.99
2020-03-16	-99.99
2020-03-17	0.2
2020-03-18	-99.99
2020-03-19	-99.99
2020-03-20	-99.99
2020-03-21	0.2
2020-03-22	-99.99
2020-03-23	-99.99
2020-03-24	-99.99
2020-03-25	0.6
2020-03-26	-99.99
2020-03-27	-99.99
2020-03-28	-99.99
2020-03-29	0.2
2020-03-30	-99.99
2020-03-31	-99.99
2020-04-01	-99.99
2020-04-02	0.3
2020-04-03	-99.99
2020-04-04	-99.99
2020-04-05	-99.99
2020-04-06	0.5
2020-04-07	-99.99
2020-04-08	-99.99
2020-04-09	-99.99
2020-04-10	0.5
2020-04-11	-99.99
2020-04-12	-99.99
2020-04-13	-99.99
2020-04-14	0.5
2020-04-15	-99.99
2020-04-16	-99.99
