row,time,.nee.sim.val
126,2018-05-07T23:00:00,7.912100000000001
127,2018-05-08T23:00:00,8.55212
128,2018-05-09T23:00:00,9.06206
129,2018-05-10T23:00:00,9.565615999999999
130,2018-05-11T23:00:00,9.471769
131,2018-05-12T23:00:00,10.2557668
132,2018-05-13T23:00:00,10.7551077
133,2018-05-14T23:00:00,10.67322583
134,2018-05-15T23:00:00,10.568451474
135,2018-05-16T23:00:00,10.5228
136,2018-05-17T23:00:00,10.4977
137,2018-05-18T23:00:00,10.2502
138,2018-05-19T23:00:00,10.3123
139,2018-05-20T23:00:00,10.2897
140,2018-05-21T23:00:00,10.1621
141,2018-05-22T23:00:00,10.0227
142,2018-05-23T23:00:00,10.2201
143,2018-05-24T23:00:00,10.3622
144,2018-05-25T23:00:00,10.270999999999999
145,2018-05-26T23:00:00,10.2224
146,2018-05-27T23:00:00,10.1784
147,2018-05-28T23:00:00,9.89822
148,2018-05-29T23:00:00,9.44391
149,2018-05-30T23:00:00,9.9323
150,2018-05-31T23:00:00,10.1519
151,2018-06-01T23:00:00,10.4631
152,2018-06-02T23:00:00,10.4449
153,2018-06-03T23:00:00,10.2
154,2018-06-04T23:00:00,9.91897
155,2018-06-05T23:00:00,9.46261
156,2018-06-06T23:00:00,9.15564
157,2018-06-07T23:00:00,8.87455
158,2018-06-08T23:00:00,8.871637631699999
159,2018-06-09T23:00:00,9.01242491746
160,2018-06-10T23:00:00,8.941639624699999
161,2018-06-11T23:00:00,8.806969346099999
162,2018-06-12T23:00:00,8.9552118338
163,2018-06-13T23:00:00,9.0658897005
164,2018-06-14T23:00:00,9.017469041
165,2018-06-15T23:00:00,9.076261543000001
166,2018-06-16T23:00:00,9.001884822
167,2018-06-17T23:00:00,8.618750043999999
168,2018-06-18T23:00:00,8.619285370000002
169,2018-06-19T23:00:00,8.51944303
170,2018-06-20T23:00:00,8.75815759
171,2018-06-21T23:00:00,8.854888230000002
172,2018-06-22T23:00:00,8.7588797
173,2018-06-23T23:00:00,8.782417200000001
174,2018-06-24T23:00:00,8.5656942
175,2018-06-25T23:00:00,8.3786123
176,2018-06-26T23:00:00,8.3608252
177,2018-06-27T23:00:00,8.21798
178,2018-06-28T23:00:00,8.157701
179,2018-06-29T23:00:00,8.19337
180,2018-06-30T23:00:00,8.059996
181,2018-07-01T23:00:00,7.7805469999999985
182,2018-07-02T23:00:00,7.365355
183,2018-07-03T23:00:00,7.013960000000001
184,2018-07-04T23:00:00,6.44139
185,2018-07-05T23:00:00,5.56751
186,2018-07-06T23:00:00,4.497870000000001
187,2018-07-07T23:00:00,3.7808999999999995
188,2018-07-08T23:00:00,2.42406
189,2018-07-09T23:00:00,1.064490000000001
190,2018-07-10T23:00:00,-0.6963000000000008
191,2018-07-11T23:00:00,-2.3633300000000013
192,2018-07-12T23:00:00,-4.52443
193,2018-07-13T23:00:00,-6.709710000000001
194,2018-07-14T23:00:00,-8.08474
195,2018-07-15T23:00:00,-11.329149999999998
196,2018-07-16T23:00:00,-17.69445
197,2018-07-17T23:00:00,-21.868069999999996
198,2018-07-18T23:00:00,-20.24605
199,2018-07-19T23:00:00,-20.661500000000004
200,2018-07-20T23:00:00,-26.382539999999995
201,2018-07-21T23:00:00,-19.970110000000002
202,2018-07-22T23:00:00,-36.16487
203,2018-07-23T23:00:00,-26.88334
204,2018-07-24T23:00:00,-29.47795
205,2018-07-25T23:00:00,-22.5016
206,2018-07-26T23:00:00,-38.03754
207,2018-07-27T23:00:00,-42.41596
208,2018-07-28T23:00:00,-40.19864
209,2018-07-29T23:00:00,-35.68735
210,2018-07-30T23:00:00,-40.88027
211,2018-07-31T23:00:00,-30.407989999999998
212,2018-08-01T23:00:00,-44.53473
213,2018-08-02T23:00:00,-49.61542
214,2018-08-03T23:00:00,-37.96026
215,2018-08-04T23:00:00,-44.957930000000005
216,2018-08-05T23:00:00,-30.27784
217,2018-08-06T23:00:00,-47.57763
218,2018-08-07T23:00:00,-42.48131
219,2018-08-08T23:00:00,-44.20828
