row,time,.water.sim.soilwater_5cm
156,2018-06-06T23:00:00,27.8769
157,2018-06-07T23:00:00,27.9216
158,2018-06-08T23:00:00,27.6602
159,2018-06-09T23:00:00,27.4774
160,2018-06-10T23:00:00,26.994
161,2018-06-11T23:00:00,26.5201
162,2018-06-12T23:00:00,26.0644
163,2018-06-13T23:00:00,26.3921
164,2018-06-14T23:00:00,26.2167
165,2018-06-15T23:00:00,25.9429
166,2018-06-16T23:00:00,25.831999999999997
167,2018-06-17T23:00:00,26.0562
168,2018-06-18T23:00:00,26.859
169,2018-06-19T23:00:00,26.8356
170,2018-06-20T23:00:00,26.2276
171,2018-06-21T23:00:00,25.9192
172,2018-06-22T23:00:00,25.9911
173,2018-06-23T23:00:00,25.8315
174,2018-06-24T23:00:00,25.6372
175,2018-06-25T23:00:00,26.5339
176,2018-06-26T23:00:00,26.5226
177,2018-06-27T23:00:00,25.9564
178,2018-06-28T23:00:00,25.465999999999998
179,2018-06-29T23:00:00,26.0019
180,2018-06-30T23:00:00,25.869
181,2018-07-01T23:00:00,26.7211
182,2018-07-02T23:00:00,27.1414
183,2018-07-03T23:00:00,27.752
184,2018-07-04T23:00:00,28.0542
185,2018-07-05T23:00:00,27.5459
186,2018-07-06T23:00:00,26.9637
187,2018-07-07T23:00:00,26.6173
188,2018-07-08T23:00:00,26.1701
189,2018-07-09T23:00:00,26.0037
190,2018-07-10T23:00:00,25.6717
191,2018-07-11T23:00:00,25.366999999999997
192,2018-07-12T23:00:00,25.2403
193,2018-07-13T23:00:00,25.8066
194,2018-07-14T23:00:00,25.5915
195,2018-07-15T23:00:00,24.9678
196,2018-07-16T23:00:00,24.4242
197,2018-07-17T23:00:00,23.8311
198,2018-07-18T23:00:00,23.2344
199,2018-07-19T23:00:00,22.6624
200,2018-07-20T23:00:00,22.1364
201,2018-07-21T23:00:00,22.3224
202,2018-07-22T23:00:00,21.8223
203,2018-07-23T23:00:00,21.215
204,2018-07-24T23:00:00,20.6828
205,2018-07-25T23:00:00,20.197
206,2018-07-26T23:00:00,19.7142
207,2018-07-27T23:00:00,19.1647
208,2018-07-28T23:00:00,18.5519
209,2018-07-29T23:00:00,18.0315
210,2018-07-30T23:00:00,18.9371
211,2018-07-31T23:00:00,18.8351
212,2018-08-01T23:00:00,18.2863
213,2018-08-02T23:00:00,17.6349
214,2018-08-03T23:00:00,17.0184
215,2018-08-04T23:00:00,16.4801
216,2018-08-05T23:00:00,16.0162
217,2018-08-06T23:00:00,15.5701
218,2018-08-07T23:00:00,15.0882
219,2018-08-08T23:00:00,14.6211
220,2018-08-09T23:00:00,14.1774
221,2018-08-10T23:00:00,13.7658
222,2018-08-11T23:00:00,13.4378
223,2018-08-12T23:00:00,13.1019
224,2018-08-13T23:00:00,12.7796
225,2018-08-14T23:00:00,12.5044
226,2018-08-15T23:00:00,12.6192
227,2018-08-16T23:00:00,12.3545
228,2018-08-17T23:00:00,12.6572
229,2018-08-18T23:00:00,12.4296
230,2018-08-19T23:00:00,12.1613
231,2018-08-20T23:00:00,11.8766
232,2018-08-21T23:00:00,11.6264
233,2018-08-22T23:00:00,11.3755
234,2018-08-23T23:00:00,11.1462
235,2018-08-24T23:00:00,12.0023
236,2018-08-25T23:00:00,12.7661
237,2018-08-26T23:00:00,13.4448
238,2018-08-27T23:00:00,14.6514
239,2018-08-28T23:00:00,15.3946
240,2018-08-29T23:00:00,14.6445
241,2018-08-30T23:00:00,14.0721
242,2018-08-31T23:00:00,13.6486
243,2018-09-01T23:00:00,13.3531
244,2018-09-02T23:00:00,13.0181
245,2018-09-03T23:00:00,12.7214
246,2018-09-04T23:00:00,13.7092
247,2018-09-05T23:00:00,13.6599
248,2018-09-06T23:00:00,13.4471
249,2018-09-07T23:00:00,13.0481
250,2018-09-08T23:00:00,12.7027
251,2018-09-09T23:00:00,12.3623
252,2018-09-10T23:00:00,12.0789
253,2018-09-11T23:00:00,11.7969
254,2018-09-12T23:00:00,11.5271
255,2018-09-13T23:00:00,12.3487
256,2018-09-14T23:00:00,12.072000000000001
257,2018-09-15T23:00:00,11.7977
258,2018-09-16T23:00:00,11.5478
259,2018-09-17T23:00:00,11.3107
260,2018-09-18T23:00:00,11.0977
261,2018-09-19T23:00:00,10.902000000000001
262,2018-09-20T23:00:00,10.7114
263,2018-09-21T23:00:00,11.5832
264,2018-09-22T23:00:00,11.751
265,2018-09-23T23:00:00,11.6158
266,2018-09-24T23:00:00,11.7409
267,2018-09-25T23:00:00,12.5908
268,2018-09-26T23:00:00,12.9871
269,2018-09-27T23:00:00,13.892000000000001
270,2018-09-28T23:00:00,13.6411
271,2018-09-29T23:00:00,13.2589
272,2018-09-30T23:00:00,12.9095
273,2018-10-01T23:00:00,12.649000000000001
274,2018-10-02T23:00:00,12.442
275,2018-10-03T23:00:00,12.8153
276,2018-10-04T23:00:00,13.3481
277,2018-10-05T23:00:00,13.5957
278,2018-10-06T23:00:00,14.0533
279,2018-10-07T23:00:00,14.2664
280,2018-10-08T23:00:00,15.7508
281,2018-10-09T23:00:00,15.5013
282,2018-10-10T23:00:00,14.9923
283,2018-10-11T23:00:00,14.6489
284,2018-10-12T23:00:00,14.2712
285,2018-10-13T23:00:00,13.9724
286,2018-10-14T23:00:00,13.7274
287,2018-10-15T23:00:00,13.8274
288,2018-10-16T23:00:00,13.7332
289,2018-10-17T23:00:00,13.8783
290,2018-10-18T23:00:00,16.9357
291,2018-10-19T23:00:00,18.1768
292,2018-10-20T23:00:00,20.502
293,2018-10-21T23:00:00,18.9885
294,2018-10-22T23:00:00,18.474
295,2018-10-23T23:00:00,19.8206
296,2018-10-24T23:00:00,22.123
297,2018-10-25T23:00:00,28.0373
298,2018-10-26T23:00:00,28.0219
299,2018-10-27T23:00:00,27.3163
300,2018-10-28T23:00:00,27.0307
301,2018-10-29T23:00:00,26.4218
302,2018-10-30T23:00:00,25.4337
303,2018-10-31T23:00:00,24.438000000000002
304,2018-11-01T23:00:00,25.0988
305,2018-11-02T23:00:00,28.2976
306,2018-11-03T23:00:00,27.2022
307,2018-11-04T23:00:00,26.0172
308,2018-11-05T23:00:00,25.05
309,2018-11-06T23:00:00,24.2528
310,2018-11-07T23:00:00,23.5595
311,2018-11-08T23:00:00,22.9634
312,2018-11-09T23:00:00,23.4301
313,2018-11-10T23:00:00,22.9819
314,2018-11-11T23:00:00,24.8404
315,2018-11-12T23:00:00,27.0431
316,2018-11-13T23:00:00,27.0468
317,2018-11-14T23:00:00,26.4878
318,2018-11-15T23:00:00,25.311
319,2018-11-16T23:00:00,24.4318
320,2018-11-17T23:00:00,24.6577
321,2018-11-18T23:00:00,23.9038
322,2018-11-19T23:00:00,25.0658
323,2018-11-20T23:00:00,27.0575
324,2018-11-21T23:00:00,27.8281
325,2018-11-22T23:00:00,27.7307
326,2018-11-23T23:00:00,27.0405
327,2018-11-24T23:00:00,27.2667
328,2018-11-25T23:00:00,27.5963
329,2018-11-26T23:00:00,26.9182
330,2018-11-27T23:00:00,26.7931
331,2018-11-28T23:00:00,26.9226
332,2018-11-29T23:00:00,27.5319
333,2018-11-30T23:00:00,27.2807
334,2018-12-01T23:00:00,28.561
335,2018-12-02T23:00:00,28.0351
336,2018-12-03T23:00:00,27.9391
337,2018-12-04T23:00:00,28.3012
338,2018-12-05T23:00:00,27.8782
339,2018-12-06T23:00:00,27.9512
340,2018-12-07T23:00:00,27.1667
341,2018-12-08T23:00:00,28.3302
342,2018-12-09T23:00:00,28.3944
343,2018-12-10T23:00:00,29.3168
344,2018-12-11T23:00:00,28.1274
345,2018-12-12T23:00:00,27.7583
346,2018-12-13T23:00:00,28.0511
347,2018-12-14T23:00:00,28.5364
348,2018-12-15T23:00:00,28.1943
349,2018-12-16T23:00:00,27.3366
350,2018-12-17T23:00:00,26.4499
351,2018-12-18T23:00:00,25.5702
352,2018-12-19T23:00:00,26.6579
353,2018-12-20T23:00:00,25.5797
354,2018-12-21T23:00:00,24.6853
355,2018-12-22T23:00:00,24.2052
356,2018-12-23T23:00:00,23.4315
357,2018-12-24T23:00:00,22.5312
358,2018-12-25T23:00:00,21.7324
359,2018-12-26T23:00:00,20.9067
360,2018-12-27T23:00:00,20.7058
