source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2019-10-11 23:00:00	0	1.29342	2.23576	0.00201198	0.000194952	1.48756e-05	0.0001654	4.25486e-06	8.53621e-06	0.013702	2.88934e-08	0	0	0	5.5321	0	0.218006	0	0.0141337	-7.86047e-15	0.212343	0.0162228	0.0118957	3.14391e-05	1.25421	115441	37726.1	57482.4	137.424	755.502	60.7824	27.3991	2.38136	0	0	5.77328	10726.8	3480.69	5266.8	15.7167	28.5766	2.37424	3.09676	14.904	0	0	0.958318
setup	0	2019-10-12 23:00:00	0	1.28254	2.22002	0.00841158	0.00668845	0.000373544	0.00562535	6.33577e-06	2.4562e-05	0.0159509	5.39155e-08	0	0	0	5.23541	0	0.206314	0	0.0185139	-7.86047e-15	0.206958	0.01362	0.0157682	3.54593e-05	1.24669	115442	37725.3	57482.8	137.001	757.714	62.7106	25.2512	2.41162	0	0	5.77328	10726.9	3480.57	5266.78	15.7772	28.6669	2.44725	2.87196	14.9524	0	0	0.960984
setup	0	2019-10-13 23:00:00	0	1.15683	1.77233	0.00681441	0.0120072	0.000683594	0.0100035	2.84633e-06	1.21438e-05	0.017712	1.64249e-08	0	0	0	4.90561	0	0.193317	0	0.0141867	-7.86047e-15	0.164883	0.00328784	0.01733	3.57539e-05	1.23671	115443	37725.3	57483.6	136.452	759.589	64.8255	23.6017	2.46999	0	0	5.77328	10727	3480.47	5266.76	15.8012	28.7441	2.52727	2.69894	14.9752	0	0	0.975563
setup	0	2019-10-14 23:00:00	0	1.11587	1.96461	0.00573011	0.0120924	0.000717398	0.00996086	2.42651e-06	-1.11095e-06	0.00876084	2.78688e-08	0	0	0	4.54417	0	0.179074	0	0.0137815	-7.86047e-15	0.176939	0.00546141	0.00824866	3.11126e-05	1.2268	115444	37725.7	57484.5	135.728	761.095	66.8364	21.9823	2.51248	0	0	5.77328	10727	3480.46	5266.77	15.8267	28.8067	2.60355	2.5289	15.0018	0	0	0.982674
setup	0	2019-10-15 23:00:00	0	1.04469	1.93296	0.00329842	0.00695824	0.000436078	0.00568181	2.03522e-06	-1.66603e-06	0.0101254	4.16097e-08	0	0	0	4.15293	0	0.163656	0	0.0136259	-7.86047e-15	0.162878	0.0128989	0.0108916	3.58591e-05	1.21594	115445	37727	57485.7	134.865	762.204	68.7226	20.5696	2.6658	0	0	5.77328	10727.1	3480.54	5266.84	15.8425	28.8536	2.67517	2.3804	15.0334	0	0	0.982658
setup	0	2019-10-16 23:00:00	0	0.954334	1.96853	0.00164578	0.0034581	0.000229184	0.00281498	2.13687e-06	1.11002e-06	0.0102388	4.20469e-08	0	0	0	3.73404	0	0.147149	0	0.0137129	-7.86047e-15	0.156965	0.0248673	0.0111924	3.99697e-05	1.20529	115446	37727.8	57486.7	133.907	762.89	70.4416	19.3644	2.88472	0	0	5.77328	10727.2	3480.58	5266.91	15.8468	28.8839	2.74046	2.25144	15.0754	0	0	0.979705
setup	0	2019-10-17 23:00:00	0	0.858207	2.04174	0.00403334	0.00843996	0.000548016	0.00683636	4.17796e-06	1.96052e-05	0.0224583	4.92074e-08	0	0	0	3.28996	0	0.129649	0	0.0139638	-7.86047e-15	0.146736	0.0354897	0.0257011	5.57923e-05	1.19486	115447	37728.1	57487.4	132.799	763.128	72.0479	18.4939	2.92294	0	0	5.77328	10727.2	3480.56	5266.93	15.8175	28.8966	2.8015	2.15318	15.1046	0	0	0.982223
setup	0	2019-10-18 23:00:00	0	0.709125	1.60295	0.00573774	0.0119786	0.000801842	0.00961661	6.86701e-06	3.79894e-05	0.0260912	3.58131e-08	0	0	0	2.82342	0	0.111264	0	0.0153594	-7.86047e-15	0.133969	0.0299319	0.0330271	5.96233e-05	1.18504	115448	37728.3	57488.4	131.775	762.9	73.7691	17.8469	3.01543	0	0	5.77328	10727.3	3480.46	5266.91	15.7702	28.891	2.86676	2.08033	15.1213	0	0	0.990235
setup	0	2019-10-19 23:00:00	0	0.612504	2.4498	0.00539245	0.0112477	0.000793774	0.00893538	3.72186e-06	1.59396e-05	0.0285748	3.3014e-08	0	0	0	2.33743	0	0.0921123	0	0.0136973	-7.86047e-15	0.134883	0.0159483	0.0167622	5.75625e-05	1.17666	115449	37728.6	57489	130.738	762.187	75.5429	16.8734	2.75572	0	0	5.77328	10727.3	3480.47	5266.94	15.7397	28.8662	2.93411	1.98481	15.1444	0	0	0.989848
setup	0	2019-10-20 23:00:00	0	0.506586	2.0732	0.000971179	0.0020131	0.000166362	0.00159087	4.15039e-06	7.00404e-06	0.0117649	5.13569e-08	0	0	0	1.83521	0	0.072321	0	0.0136473	-7.86047e-15	0.141356	0.0380238	0.00980513	4.62428e-05	1.16938	115450	37729.5	57490	129.663	760.975	77.1041	15.9181	2.97737	0	0	5.77328	10727.4	3480.54	5267.01	15.7289	28.8218	2.99339	1.88365	15.1904	0	0	0.984437
