*,*,date,tavg,tmin,tmax,grad,prec,rh,wind
2022,216,3-Aug-22,16.37361111,12.7,20.4,91.85416667,0,55,3.006770833
2022,217,4-Aug-22,15.68993056,13.4,19.7,122.1076389,0.017,55,3.829270833
2022,218,5-Aug-22,15.63784722,12.7,20.4,107.7256944,0,55,2.947118056
2022,219,6-Aug-22,15.97743056,9.8,22.2,170.2951389,0,55,2.568576389
2022,220,7-Aug-22,14.68298611,9.3,20.8,139.9756944,0,55,2.635208333
2022,221,8-Aug-22,15.90347222,12.9,20.9,124.8541667,0,55,3.072013889
2022,222,9-Aug-22,16.40034722,11.2,22.1,174.0625,0,55,2.8209375
2022,223,10-Aug-22,17.21875,13.1,23.8,211.9618056,0,55,3.483715278
2022,224,11-Aug-22,16.62986111,13.3,21.5,174.90625,0,55,4.695347222
2022,225,12-Aug-22,16.23611111,13,21,135,0,55,4.338298611
2022,226,13-Aug-22,16.02152778,12.5,21.2,146.1215278,0,55,3.465
2022,227,14-Aug-22,16.05069444,12.2,20.3,122.0277778,0,55,3.164652778
2022,228,15-Aug-22,17.69548611,14.2,22.6,150.0555556,0,55,2.743541667
2022,229,16-Aug-22,18.50763889,14.3,24.5,167.28125,0,55,3.0003125
2022,230,17-Aug-22,16.67916667,13.5,22.7,133.4548611,0,55,3.471527778
2022,231,18-Aug-22,16.57673611,9.1,24.9,244.5833333,0,55,2.819513889
2022,232,19-Aug-22,17.809375,9.7,26.6,262.2847222,0,55,2.796527778
2022,233,20-Aug-22,19.29409722,11.1,29.3,244.7916667,0,55,2.882256944
2022,234,21-Aug-22,18.87534722,10.6,27.1,263.6076389,0,55,3.214166667
2022,235,22-Aug-22,17.21006944,11.1,24.3,206.5555556,0,55,3.28375
2022,236,23-Aug-22,15.96805556,11.3,20.8,87.32638889,0,55,3.313993056
2022,237,24-Aug-22,16.33541667,10.4,22.2,201.9444444,0,55,3.266875
2022,238,25-Aug-22,16.29375,12,20.1,103.6631944,0,55,3.320277778
2022,239,26-Aug-22,17.21666667,14.2,22.8,166.78125,0,55,3.617743056
2022,240,27-Aug-22,15.984375,14,19.3,111.7395833,0,55,3.608263889
2022,241,28-Aug-22,16.65902778,13.2,20,114.3263889,0,55,3.087881944
2022,242,29-Aug-22,18.16736111,10.1,25.4,218.7013889,0,55,2.870451389
2022,243,30-Aug-22,18.51840278,11.5,26.4,273.9756944,0,55,3.277361111
2022,244,31-Aug-22,16.60798611,12.1,20.7,100.1666667,0,55,3.015381944
2022,245,1-Sep-22,17.74618056,12.2,25.3,214.9479167,0,55,2.754652778
2022,246,2-Sep-22,15.3625,11.6,18.7,68.72916667,0,55,2.648680556
2022,247,3-Sep-22,16.65868056,12.7,22.6,155.0763889,0,55,2.7828125
2022,248,4-Sep-22,17.31597222,10.8,26,226.9270833,0,55,2.604236111
2022,249,5-Sep-22,18.42604167,11.7,24.7,198.0763889,0,55,2.455833333
2022,250,6-Sep-22,17.83368056,13.6,25.8,164.7222222,0,55,2.475590278
2022,251,7-Sep-22,16.08611111,13.7,18.7,106.21875,0,55,3.091388889
2022,252,8-Sep-22,16.29652778,13.5,19.7,84.81597222,0,55,2.650416667
2022,253,9-Sep-22,16.49270833,11.4,21,117.0208333,0,55,2.910347222
2022,254,10-Sep-22,17.50416667,11,24.7,203.5034722,0,55,2.7525
2022,255,11-Sep-22,18.37222222,13.1,24.9,219.6145833,0,55,2.885694444
2022,256,12-Sep-22,18.24583333,13.9,24.3,234.9965278,0,55,2.962013889
2022,257,13-Sep-22,17.11840278,12.6,22.7,191.7708333,0,55,3.163888889
2022,258,14-Sep-22,17.43715278,13,22.2,133.4791667,0,55,3.238576389
2022,259,15-Sep-22,16.90208333,12.6,22.3,131.1736111,0,55,3.797673611
2022,260,16-Sep-22,18.009375,13.5,24.4,218.0972222,0,55,4.155034722
2022,261,17-Sep-22,17.60416667,14,22.3,162.5277778,0,55,3.455208333
2022,262,18-Sep-22,17.22638889,12.7,23.7,165.2916667,0,55,3.369722222
2022,263,19-Sep-22,19.48541667,14.3,27,258.03125,0,55,3.3590625
2022,264,20-Sep-22,18.81006944,13.2,25.8,270.4722222,0,55,3.301319444
2022,265,21-Sep-22,19.17673611,12.8,26.8,272.2604167,0,55,3.458298611
2022,266,22-Sep-22,18.88645833,13,25.7,267.5381944,0,55,3.401979167
2022,267,23-Sep-22,18.89895833,11.4,26.7,298.3576389,0,55,3.403819444
2022,268,24-Sep-22,18.73263889,11.1,26.8,289.9201389,0,55,3.704479167
2022,269,25-Sep-22,18.63611111,12.7,24.8,227.2916667,0,55,4.270798611
2022,270,26-Sep-22,19.03506944,12.7,25.6,282.3229167,0,55,4.004479167
2022,271,27-Sep-22,18.60034722,11,25.9,309.6388889,0,55,3.813923611
2022,272,28-Sep-22,18.87951389,11.7,26.1,273.1944444,0,55,3.449027778
2022,273,29-Sep-22,18.77916667,10.8,26.5,266.1215278,0,55,3.464791667
2022,274,30-Sep-22,18.57847222,14.3,24.7,208.2986111,0,55,3.399826389
2022,275,1-Oct-22,18.47326389,14,26.4,182.8472222,0,55,3.114270833
2022,276,2-Oct-22,19.45729167,13.8,27.1,241.5868056,0,55,2.991076389
2022,277,3-Oct-22,18.93576389,12.5,26.6,224.8090278,0,55,2.942951389
2022,278,4-Oct-22,18.73993056,12.4,26.7,208.0277778,0,55,3.263645833
2022,279,5-Oct-22,18.93541667,13.6,26.3,200.0347222,0,55,3.558229167
2022,280,6-Oct-22,18.68888889,14.1,25.7,227.1215278,0,55,3.850833333
2022,281,7-Oct-22,18.81666667,14.3,25.2,190.7048611,0,55,3.639965278
2022,282,8-Oct-22,18.23645833,11.2,26,243.6944444,0,55,3.665520833
2022,283,9-Oct-22,18.54513889,13.4,24.7,254.5902778,0,55,3.402152778
2022,284,10-Oct-22,19.03298611,12.8,25.3,230.7291667,0,55,3.0609375
2022,285,11-Oct-22,18.36319444,10.9,25.8,295.4548611,0,55,3.187013889
2022,286,12-Oct-22,18.81666667,10.4,26.8,262.2361111,0,55,3.176354167
2022,287,13-Oct-22,18.98368056,11.5,26.8,263.7430556,0,55,3.131666667
2022,288,14-Oct-22,18.64340278,11.3,26.3,254.25,0,55,3.472465278
2022,289,15-Oct-22,18.69583333,11.5,26.4,275.3958333,0,55,3.384375
2022,290,16-Oct-22,19.9,13.3,27,288.6041667,0,55,4.133402778
2022,291,17-Oct-22,20.39930556,14.4,27.2,277.0520833,0,55,3.748402778
2022,292,18-Oct-22,19.85868056,15.4,26.2,276.2291667,0,55,3.853090278
2022,293,19-Oct-22,19.54618056,14.3,25.8,261.8333333,0,55,3.979548611
2022,294,20-Oct-22,19.00208333,13.1,26.2,244.3611111,0,55,3.581666667
2022,295,21-Oct-22,19.55173611,13.9,27.4,251.40625,0,55,3.491041667
2022,296,22-Oct-22,19.74375,12.3,27.5,306.0798611,0,55,3.5540625
2022,297,23-Oct-22,20.19618056,13.5,27,280.84375,0,55,3.519722222
2022,298,24-Oct-22,21.00381944,14.4,28.4,312.1770833,0,55,3.207534722
2022,299,25-Oct-22,21.06354167,14.5,28,294.1180556,0,55,3.249236111
